method, generation, latency, ar
surrogate, 1, 120.0, 0.9833333333333333
surrogate, 1, 43.0, 0.9166666666666666
surrogate, 1, 42.0, 0.8333333333333334
surrogate, 1, 40.0, 0.8166666666666667
surrogate, 2, 120.0, 0.9833333333333333
surrogate, 2, 43.0, 0.9166666666666666
surrogate, 2, 42.0, 0.8833333333333333
surrogate, 2, 40.0, 0.8333333333333334
surrogate, 2, 39.0, 0.7
surrogate, 3, 120.0, 0.9833333333333333
surrogate, 3, 43.0, 0.9166666666666666
surrogate, 3, 42.0, 0.8833333333333333
surrogate, 3, 41.0, 0.8666666666666667
surrogate, 3, 40.0, 0.8333333333333334
surrogate, 3, 39.0, 0.7
surrogate, 4, 120.0, 0.9833333333333333
surrogate, 4, 43.0, 0.9166666666666666
surrogate, 4, 42.0, 0.8833333333333333
surrogate, 4, 41.0, 0.8666666666666667
surrogate, 4, 40.0, 0.8333333333333334
surrogate, 4, 39.0, 0.8
surrogate, 5, 120.0, 0.9833333333333333
surrogate, 5, 56.0, 0.95
surrogate, 5, 43.0, 0.9166666666666666
surrogate, 5, 42.0, 0.8833333333333333
surrogate, 5, 42.0, 0.8833333333333333
surrogate, 5, 41.0, 0.8666666666666667
surrogate, 5, 40.0, 0.8333333333333334
surrogate, 5, 39.0, 0.8
