method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8468749999999998, 0.9125, 0.775, 47.2, 49.0, 44.0
surrogate, 2, 0.8793750000000001, 0.925, 0.7875, 47.0, 50.0, 44.0
surrogate, 3, 0.875, 0.925, 0.7875, 46.6, 48.0, 44.0
surrogate, 4, 0.8856249999999999, 0.925, 0.7875, 46.55, 48.0, 44.0
surrogate, 5, 0.8893749999999999, 0.9375, 0.7875, 46.45, 48.0, 44.0
surrogate, 6, 0.8918749999999998, 0.9375, 0.7875, 46.25, 48.0, 44.0
surrogate, 7, 0.89625, 0.9375, 0.7875, 46.35, 48.0, 44.0
surrogate, 8, 0.8975, 0.9375, 0.7875, 46.35, 48.0, 44.0
surrogate, 9, 0.89875, 0.9375, 0.7875, 46.4, 48.0, 44.0
surrogate, 10, 0.9006250000000001, 0.95, 0.7875, 46.4, 48.0, 44.0
