method, generation, latency, ar
surrogate, 1, 2347.0, 0.9166666666666666
surrogate, 1, 2221.0, 0.85
surrogate, 1, 1020.0, 0.8333333333333334
surrogate, 1, 580.0, 0.8
surrogate, 2, 3672.0, 0.9666666666666667
surrogate, 2, 2347.0, 0.9166666666666666
surrogate, 2, 1566.0, 0.85
surrogate, 2, 878.0, 0.8333333333333334
surrogate, 2, 580.0, 0.8
surrogate, 3, 3672.0, 0.9666666666666667
surrogate, 3, 2347.0, 0.9166666666666666
surrogate, 3, 528.0, 0.8666666666666667
surrogate, 3, 367.0, 0.75
surrogate, 4, 3672.0, 0.9666666666666667
surrogate, 4, 2347.0, 0.9166666666666666
surrogate, 4, 528.0, 0.8666666666666667
surrogate, 4, 157.0, 0.8333333333333334
surrogate, 5, 3672.0, 0.9666666666666667
surrogate, 5, 3343.0, 0.95
surrogate, 5, 3136.0, 0.9333333333333333
surrogate, 5, 2347.0, 0.9166666666666666
surrogate, 5, 1642.0, 0.9
surrogate, 5, 528.0, 0.8666666666666667
surrogate, 5, 157.0, 0.8333333333333334
surrogate, 6, 3672.0, 0.9666666666666667
surrogate, 6, 3343.0, 0.95
surrogate, 6, 2066.0, 0.9333333333333333
surrogate, 6, 1642.0, 0.9
surrogate, 6, 528.0, 0.8666666666666667
surrogate, 6, 157.0, 0.8333333333333334
surrogate, 7, 3672.0, 0.9666666666666667
surrogate, 7, 3343.0, 0.95
surrogate, 7, 2066.0, 0.9333333333333333
surrogate, 7, 1544.0, 0.9
surrogate, 7, 528.0, 0.8666666666666667
surrogate, 7, 157.0, 0.8333333333333334
surrogate, 8, 3672.0, 0.9666666666666667
surrogate, 8, 3343.0, 0.95
surrogate, 8, 2066.0, 0.9333333333333333
surrogate, 8, 1544.0, 0.9
surrogate, 8, 820.0, 0.8833333333333333
surrogate, 8, 528.0, 0.8666666666666667
surrogate, 8, 157.0, 0.8333333333333334
surrogate, 9, 3672.0, 0.9666666666666667
surrogate, 9, 3343.0, 0.95
surrogate, 9, 2066.0, 0.9333333333333333
surrogate, 9, 1544.0, 0.9
surrogate, 9, 820.0, 0.8833333333333333
surrogate, 9, 528.0, 0.8666666666666667
surrogate, 9, 157.0, 0.8333333333333334
surrogate, 10, 3672.0, 0.9666666666666667
surrogate, 10, 3343.0, 0.95
surrogate, 10, 2066.0, 0.9333333333333333
surrogate, 10, 967.0, 0.9
surrogate, 10, 820.0, 0.8833333333333333
surrogate, 10, 528.0, 0.8666666666666667
surrogate, 10, 482.0, 0.85
surrogate, 10, 157.0, 0.8333333333333334
surrogate, 10, 155.0, 0.7833333333333333
surrogate, 10, 106.0, 0.7333333333333333
surrogate, 11, 3672.0, 0.9666666666666667
surrogate, 11, 3343.0, 0.95
surrogate, 11, 1661.0, 0.9333333333333333
surrogate, 11, 967.0, 0.9
surrogate, 11, 820.0, 0.8833333333333333
surrogate, 11, 528.0, 0.8666666666666667
surrogate, 11, 482.0, 0.85
surrogate, 11, 157.0, 0.8333333333333334
surrogate, 11, 155.0, 0.7833333333333333
surrogate, 11, 83.0, 0.7333333333333333
surrogate, 12, 3672.0, 0.9666666666666667
surrogate, 12, 3343.0, 0.95
surrogate, 12, 1661.0, 0.9333333333333333
surrogate, 12, 967.0, 0.9
surrogate, 12, 820.0, 0.8833333333333333
surrogate, 12, 528.0, 0.8666666666666667
surrogate, 12, 482.0, 0.85
surrogate, 12, 157.0, 0.8333333333333334
surrogate, 12, 155.0, 0.7833333333333333
surrogate, 12, 99.0, 0.7666666666666667
surrogate, 12, 83.0, 0.7333333333333333
surrogate, 13, 3672.0, 0.9666666666666667
surrogate, 13, 3343.0, 0.95
surrogate, 13, 1661.0, 0.9333333333333333
surrogate, 13, 967.0, 0.9
surrogate, 13, 820.0, 0.8833333333333333
surrogate, 13, 490.0, 0.8666666666666667
surrogate, 13, 482.0, 0.85
surrogate, 13, 157.0, 0.8333333333333334
surrogate, 13, 155.0, 0.7833333333333333
surrogate, 13, 99.0, 0.7666666666666667
surrogate, 13, 83.0, 0.7333333333333333
surrogate, 14, 3672.0, 0.9666666666666667
surrogate, 14, 3343.0, 0.95
surrogate, 14, 1661.0, 0.9333333333333333
surrogate, 14, 998.0, 0.9166666666666666
surrogate, 14, 967.0, 0.9
surrogate, 14, 820.0, 0.8833333333333333
surrogate, 14, 490.0, 0.8666666666666667
surrogate, 14, 316.0, 0.85
surrogate, 14, 157.0, 0.8333333333333334
surrogate, 14, 155.0, 0.7833333333333333
surrogate, 14, 99.0, 0.7666666666666667
surrogate, 14, 83.0, 0.7333333333333333
surrogate, 15, 3672.0, 0.9666666666666667
surrogate, 15, 3343.0, 0.95
surrogate, 15, 1661.0, 0.9333333333333333
surrogate, 15, 998.0, 0.9166666666666666
surrogate, 15, 967.0, 0.9
surrogate, 15, 820.0, 0.8833333333333333
surrogate, 15, 490.0, 0.8666666666666667
surrogate, 15, 316.0, 0.85
surrogate, 15, 157.0, 0.8333333333333334
surrogate, 15, 91.0, 0.7833333333333333
surrogate, 15, 83.0, 0.7333333333333333
surrogate, 16, 3672.0, 0.9666666666666667
surrogate, 16, 3343.0, 0.95
surrogate, 16, 1661.0, 0.9333333333333333
surrogate, 16, 998.0, 0.9166666666666666
surrogate, 16, 967.0, 0.9
surrogate, 16, 820.0, 0.8833333333333333
surrogate, 16, 490.0, 0.8666666666666667
surrogate, 16, 316.0, 0.85
surrogate, 16, 157.0, 0.8333333333333334
surrogate, 16, 91.0, 0.7833333333333333
surrogate, 16, 70.0, 0.7666666666666667
surrogate, 16, 62.0, 0.7166666666666667
surrogate, 17, 3476.0, 0.9666666666666667
surrogate, 17, 3343.0, 0.95
surrogate, 17, 1661.0, 0.9333333333333333
surrogate, 17, 998.0, 0.9166666666666666
surrogate, 17, 967.0, 0.9
surrogate, 17, 820.0, 0.8833333333333333
surrogate, 17, 490.0, 0.8666666666666667
surrogate, 17, 316.0, 0.85
surrogate, 17, 157.0, 0.8333333333333334
surrogate, 17, 91.0, 0.7833333333333333
surrogate, 17, 70.0, 0.7666666666666667
surrogate, 17, 62.0, 0.7166666666666667
surrogate, 18, 3476.0, 0.9666666666666667
surrogate, 18, 3343.0, 0.95
surrogate, 18, 1661.0, 0.9333333333333333
surrogate, 18, 998.0, 0.9166666666666666
surrogate, 18, 967.0, 0.9
surrogate, 18, 820.0, 0.8833333333333333
surrogate, 18, 490.0, 0.8666666666666667
surrogate, 18, 316.0, 0.85
surrogate, 18, 157.0, 0.8333333333333334
surrogate, 18, 91.0, 0.7833333333333333
surrogate, 18, 70.0, 0.7666666666666667
surrogate, 18, 62.0, 0.7166666666666667
surrogate, 19, 3476.0, 0.9666666666666667
surrogate, 19, 3343.0, 0.95
surrogate, 19, 1661.0, 0.9333333333333333
surrogate, 19, 998.0, 0.9166666666666666
surrogate, 19, 967.0, 0.9
surrogate, 19, 820.0, 0.8833333333333333
surrogate, 19, 467.0, 0.8666666666666667
surrogate, 19, 316.0, 0.85
surrogate, 19, 157.0, 0.8333333333333334
surrogate, 19, 91.0, 0.7833333333333333
surrogate, 19, 70.0, 0.7666666666666667
surrogate, 19, 62.0, 0.7166666666666667
surrogate, 20, 3438.0, 0.9666666666666667
surrogate, 20, 3343.0, 0.95
surrogate, 20, 1661.0, 0.9333333333333333
surrogate, 20, 998.0, 0.9166666666666666
surrogate, 20, 859.0, 0.9
surrogate, 20, 793.0, 0.8833333333333333
surrogate, 20, 467.0, 0.8666666666666667
surrogate, 20, 316.0, 0.85
surrogate, 20, 157.0, 0.8333333333333334
surrogate, 20, 91.0, 0.7833333333333333
surrogate, 20, 70.0, 0.7666666666666667
surrogate, 20, 62.0, 0.7166666666666667
surrogate, 21, 3438.0, 0.9666666666666667
surrogate, 21, 3343.0, 0.95
surrogate, 21, 1661.0, 0.9333333333333333
surrogate, 21, 998.0, 0.9166666666666666
surrogate, 21, 859.0, 0.9
surrogate, 21, 793.0, 0.8833333333333333
surrogate, 21, 467.0, 0.8666666666666667
surrogate, 21, 125.0, 0.85
surrogate, 21, 91.0, 0.7833333333333333
surrogate, 21, 70.0, 0.7666666666666667
surrogate, 21, 62.0, 0.7166666666666667
surrogate, 22, 3438.0, 0.9666666666666667
surrogate, 22, 3343.0, 0.95
surrogate, 22, 1661.0, 0.9333333333333333
surrogate, 22, 998.0, 0.9166666666666666
surrogate, 22, 859.0, 0.9
surrogate, 22, 793.0, 0.8833333333333333
surrogate, 22, 467.0, 0.8666666666666667
surrogate, 22, 125.0, 0.85
surrogate, 22, 90.0, 0.7833333333333333
surrogate, 22, 70.0, 0.7666666666666667
surrogate, 22, 62.0, 0.7166666666666667
surrogate, 23, 3438.0, 0.9666666666666667
surrogate, 23, 3343.0, 0.95
surrogate, 23, 1661.0, 0.9333333333333333
surrogate, 23, 998.0, 0.9166666666666666
surrogate, 23, 859.0, 0.9
surrogate, 23, 565.0, 0.8833333333333333
surrogate, 23, 467.0, 0.8666666666666667
surrogate, 23, 125.0, 0.85
surrogate, 23, 90.0, 0.7833333333333333
surrogate, 23, 70.0, 0.7666666666666667
surrogate, 23, 62.0, 0.7166666666666667
surrogate, 24, 3438.0, 0.9666666666666667
surrogate, 24, 3343.0, 0.95
surrogate, 24, 1661.0, 0.9333333333333333
surrogate, 24, 998.0, 0.9166666666666666
surrogate, 24, 859.0, 0.9
surrogate, 24, 426.0, 0.8833333333333333
surrogate, 24, 125.0, 0.85
surrogate, 24, 72.0, 0.7833333333333333
surrogate, 24, 70.0, 0.7666666666666667
surrogate, 24, 62.0, 0.7166666666666667
surrogate, 25, 3438.0, 0.9666666666666667
surrogate, 25, 3343.0, 0.95
surrogate, 25, 1661.0, 0.9333333333333333
surrogate, 25, 998.0, 0.9166666666666666
surrogate, 25, 859.0, 0.9
surrogate, 25, 426.0, 0.8833333333333333
surrogate, 25, 125.0, 0.85
surrogate, 25, 99.0, 0.8166666666666667
surrogate, 25, 72.0, 0.7833333333333333
surrogate, 25, 70.0, 0.7666666666666667
surrogate, 25, 62.0, 0.7166666666666667
surrogate, 26, 3438.0, 0.9666666666666667
surrogate, 26, 3343.0, 0.95
surrogate, 26, 1661.0, 0.9333333333333333
surrogate, 26, 998.0, 0.9166666666666666
surrogate, 26, 859.0, 0.9
surrogate, 26, 426.0, 0.8833333333333333
surrogate, 26, 125.0, 0.85
surrogate, 26, 99.0, 0.8166666666666667
surrogate, 26, 72.0, 0.7833333333333333
surrogate, 26, 70.0, 0.7666666666666667
surrogate, 26, 62.0, 0.7166666666666667
surrogate, 27, 3438.0, 0.9666666666666667
surrogate, 27, 3343.0, 0.95
surrogate, 27, 1661.0, 0.9333333333333333
surrogate, 27, 998.0, 0.9166666666666666
surrogate, 27, 859.0, 0.9
surrogate, 27, 426.0, 0.8833333333333333
surrogate, 27, 315.0, 0.8666666666666667
surrogate, 27, 125.0, 0.85
surrogate, 27, 99.0, 0.8166666666666667
surrogate, 27, 72.0, 0.7833333333333333
surrogate, 27, 70.0, 0.7666666666666667
surrogate, 27, 62.0, 0.7166666666666667
surrogate, 28, 3438.0, 0.9666666666666667
surrogate, 28, 3343.0, 0.95
surrogate, 28, 1661.0, 0.9333333333333333
