method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.85, 0.95, 0.75, 2454.75, 4462.0, 137.0
surrogate, 2, 0.8549999999999999, 0.95, 0.75, 1832.4, 4462.0, 137.0
surrogate, 3, 0.8708333333333333, 0.95, 0.7666666666666667, 1951.85, 4462.0, 137.0
surrogate, 4, 0.8733333333333334, 0.95, 0.7666666666666667, 1679.75, 4462.0, 84.0
surrogate, 5, 0.8758333333333332, 0.9666666666666667, 0.75, 1671.75, 4462.0, 84.0
surrogate, 6, 0.8716666666666665, 0.9666666666666667, 0.7333333333333333, 1605.0, 4462.0, 84.0
surrogate, 7, 0.8641666666666665, 0.9666666666666667, 0.7333333333333333, 1232.85, 3684.0, 84.0
surrogate, 8, 0.8724999999999999, 0.9666666666666667, 0.7333333333333333, 1414.45, 4266.0, 84.0
surrogate, 9, 0.8733333333333333, 0.9666666666666667, 0.7166666666666667, 1384.7, 3705.0, 84.0
surrogate, 10, 0.8541666666666667, 0.9666666666666667, 0.6833333333333333, 1120.7, 3684.0, 58.0
surrogate, 11, 0.8666666666666668, 0.9666666666666667, 0.6833333333333333, 1421.1, 3666.0, 58.0
surrogate, 12, 0.8666666666666666, 0.9666666666666667, 0.6833333333333333, 1361.45, 3666.0, 58.0
surrogate, 13, 0.8666666666666666, 0.9666666666666667, 0.6833333333333333, 1361.45, 3666.0, 58.0
surrogate, 14, 0.8624999999999998, 0.9666666666666667, 0.6833333333333333, 1191.05, 3666.0, 58.0
surrogate, 15, 0.8616666666666667, 0.9666666666666667, 0.6833333333333333, 1124.25, 3666.0, 58.0
surrogate, 16, 0.8608333333333332, 0.9666666666666667, 0.6833333333333333, 1121.35, 3666.0, 58.0
surrogate, 17, 0.8633333333333333, 0.9833333333333333, 0.6833333333333333, 1244.15, 3666.0, 58.0
surrogate, 18, 0.8625, 0.9833333333333333, 0.6833333333333333, 1207.0, 3666.0, 58.0
surrogate, 19, 0.8625, 0.9833333333333333, 0.6833333333333333, 1170.9, 3666.0, 58.0
surrogate, 20, 0.8625, 0.9833333333333333, 0.6833333333333333, 1139.65, 3652.0, 58.0
surrogate, 21, 0.8591666666666666, 0.9833333333333333, 0.6833333333333333, 1130.9, 3652.0, 52.0
surrogate, 22, 0.85, 0.9833333333333333, 0.6666666666666666, 1121.95, 3652.0, 47.0
surrogate, 23, 0.8516666666666666, 0.9833333333333333, 0.6666666666666666, 1122.1, 3652.0, 47.0
surrogate, 24, 0.8466666666666667, 0.9833333333333333, 0.6666666666666666, 1095.15, 3652.0, 47.0
surrogate, 25, 0.8441666666666668, 0.9833333333333333, 0.6666666666666666, 1085.15, 3652.0, 47.0
surrogate, 26, 0.8466666666666665, 0.9833333333333333, 0.6666666666666666, 1094.3, 3652.0, 47.0
surrogate, 27, 0.8525, 0.9833333333333333, 0.6666666666666666, 1125.05, 3652.0, 47.0
surrogate, 28, 0.8525, 0.9833333333333333, 0.6666666666666666, 1028.2, 3652.0, 47.0
surrogate, 29, 0.8525, 0.9833333333333333, 0.6666666666666666, 1026.6, 3652.0, 47.0
surrogate, 30, 0.8516666666666668, 0.9833333333333333, 0.6666666666666666, 1020.85, 3652.0, 47.0
surrogate, 31, 0.8499999999999999, 0.9833333333333333, 0.6666666666666666, 1016.3, 3652.0, 47.0
surrogate, 32, 0.8541666666666666, 0.9833333333333333, 0.6666666666666666, 1028.45, 3652.0, 47.0
surrogate, 33, 0.8483333333333333, 0.9833333333333333, 0.6666666666666666, 1000.35, 3652.0, 47.0
surrogate, 34, 0.8508333333333333, 0.9833333333333333, 0.6666666666666666, 1001.85, 3652.0, 47.0
surrogate, 35, 0.8558333333333333, 0.9833333333333333, 0.6666666666666666, 1008.2, 3652.0, 47.0
surrogate, 36, 0.8550000000000001, 0.9833333333333333, 0.6666666666666666, 1007.85, 3652.0, 47.0
surrogate, 37, 0.865, 0.9833333333333333, 0.7, 1010.5, 3652.0, 44.0
surrogate, 38, 0.8658333333333333, 0.9833333333333333, 0.7, 1011.85, 3652.0, 44.0
surrogate, 39, 0.8591666666666666, 0.9833333333333333, 0.6833333333333333, 996.8, 3652.0, 44.0
surrogate, 40, 0.8591666666666666, 0.9833333333333333, 0.6833333333333333, 996.8, 3652.0, 44.0
surrogate, 41, 0.8608333333333335, 0.9833333333333333, 0.6833333333333333, 1000.75, 3652.0, 44.0
surrogate, 42, 0.8649999999999999, 0.9833333333333333, 0.6833333333333333, 1005.95, 3652.0, 44.0
surrogate, 43, 0.8516666666666666, 0.9833333333333333, 0.65, 970.45, 3652.0, 41.0
surrogate, 44, 0.8491666666666665, 0.9833333333333333, 0.65, 846.3, 3652.0, 41.0
surrogate, 45, 0.845, 0.9833333333333333, 0.65, 836.05, 3652.0, 41.0
surrogate, 46, 0.8383333333333335, 0.9833333333333333, 0.65, 834.95, 3652.0, 41.0
surrogate, 47, 0.8341666666666667, 0.9833333333333333, 0.65, 833.35, 3652.0, 41.0
surrogate, 48, 0.8341666666666667, 0.9833333333333333, 0.65, 833.35, 3652.0, 41.0
surrogate, 49, 0.8333333333333333, 0.9833333333333333, 0.65, 832.65, 3652.0, 41.0
surrogate, 50, 0.8399999999999999, 0.9833333333333333, 0.65, 834.25, 3652.0, 41.0
surrogate, 51, 0.8366666666666666, 0.9833333333333333, 0.65, 833.55, 3652.0, 41.0
surrogate, 52, 0.8358333333333332, 0.9833333333333333, 0.65, 832.95, 3652.0, 41.0
surrogate, 53, 0.8399999999999999, 0.9833333333333333, 0.65, 842.55, 3652.0, 41.0
surrogate, 54, 0.8391666666666667, 0.9833333333333333, 0.65, 838.95, 3652.0, 41.0
surrogate, 55, 0.8333333333333334, 0.9833333333333333, 0.6333333333333333, 838.1, 3652.0, 40.0
surrogate, 56, 0.8225000000000001, 0.9833333333333333, 0.6333333333333333, 829.6, 3652.0, 40.0
surrogate, 57, 0.8216666666666667, 0.9833333333333333, 0.6333333333333333, 829.55, 3652.0, 40.0
surrogate, 58, 0.8216666666666667, 0.9833333333333333, 0.6333333333333333, 829.55, 3652.0, 40.0
surrogate, 59, 0.8083333333333332, 0.9833333333333333, 0.6333333333333333, 653.85, 3652.0, 40.0
surrogate, 60, 0.8149999999999998, 0.9833333333333333, 0.6333333333333333, 672.1, 3652.0, 40.0
surrogate, 61, 0.8166666666666667, 0.9833333333333333, 0.6333333333333333, 668.75, 3652.0, 40.0
surrogate, 62, 0.8033333333333333, 0.9833333333333333, 0.6333333333333333, 652.6, 3652.0, 40.0
surrogate, 63, 0.8033333333333333, 0.9833333333333333, 0.6333333333333333, 652.6, 3652.0, 40.0
surrogate, 64, 0.8033333333333333, 0.9833333333333333, 0.6333333333333333, 652.6, 3652.0, 40.0
surrogate, 65, 0.8225, 0.9833333333333333, 0.6333333333333333, 693.6, 3652.0, 39.0
surrogate, 66, 0.8333333333333333, 0.9833333333333333, 0.6333333333333333, 692.7, 3652.0, 39.0
surrogate, 67, 0.8333333333333334, 0.9833333333333333, 0.6333333333333333, 692.5, 3652.0, 39.0
surrogate, 68, 0.825, 0.9833333333333333, 0.6333333333333333, 666.85, 3652.0, 39.0
surrogate, 69, 0.825, 0.9833333333333333, 0.6333333333333333, 666.85, 3652.0, 39.0
surrogate, 70, 0.825, 0.9833333333333333, 0.6333333333333333, 666.0, 3652.0, 39.0
surrogate, 71, 0.825, 0.9833333333333333, 0.6333333333333333, 666.0, 3652.0, 39.0
surrogate, 72, 0.8366666666666666, 0.9833333333333333, 0.6333333333333333, 680.9, 3652.0, 39.0
surrogate, 73, 0.8375, 0.9833333333333333, 0.6333333333333333, 705.85, 3652.0, 39.0
surrogate, 74, 0.8375, 0.9833333333333333, 0.6333333333333333, 704.8, 3652.0, 39.0
surrogate, 75, 0.8324999999999999, 0.9833333333333333, 0.6333333333333333, 701.75, 3652.0, 39.0
surrogate, 76, 0.8316666666666667, 0.9833333333333333, 0.6333333333333333, 701.7, 3652.0, 39.0
surrogate, 77, 0.8383333333333333, 0.9833333333333333, 0.6333333333333333, 711.3, 3652.0, 39.0
surrogate, 78, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 666.55, 3652.0, 39.0
surrogate, 79, 0.8258333333333333, 0.9833333333333333, 0.6333333333333333, 661.85, 3652.0, 39.0
surrogate, 80, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 664.1, 3652.0, 39.0
surrogate, 81, 0.8316666666666667, 0.9833333333333333, 0.6333333333333333, 665.65, 3652.0, 39.0
surrogate, 82, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 663.85, 3652.0, 39.0
surrogate, 83, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 663.85, 3652.0, 39.0
surrogate, 84, 0.8216666666666667, 0.9833333333333333, 0.6333333333333333, 660.9, 3652.0, 39.0
surrogate, 85, 0.8283333333333334, 0.9833333333333333, 0.6333333333333333, 662.75, 3652.0, 39.0
surrogate, 86, 0.8299999999999998, 0.9833333333333333, 0.6333333333333333, 664.85, 3652.0, 39.0
surrogate, 87, 0.8316666666666667, 0.9833333333333333, 0.6333333333333333, 667.65, 3652.0, 39.0
surrogate, 88, 0.8299999999999998, 0.9833333333333333, 0.6333333333333333, 662.95, 3652.0, 39.0
surrogate, 89, 0.8316666666666667, 0.9833333333333333, 0.6333333333333333, 664.6, 3652.0, 39.0
surrogate, 90, 0.8324999999999999, 0.9833333333333333, 0.6333333333333333, 830.0, 3652.0, 39.0
surrogate, 91, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 665.85, 3652.0, 39.0
surrogate, 92, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 665.85, 3652.0, 39.0
surrogate, 93, 0.8308333333333333, 0.9833333333333333, 0.6333333333333333, 665.85, 3652.0, 39.0
surrogate, 94, 0.8200000000000001, 0.9833333333333333, 0.6333333333333333, 655.5, 3652.0, 39.0
surrogate, 95, 0.8200000000000001, 0.9833333333333333, 0.6333333333333333, 655.5, 3652.0, 39.0
surrogate, 96, 0.8200000000000001, 0.9833333333333333, 0.6333333333333333, 655.5, 3652.0, 39.0
surrogate, 97, 0.8074999999999999, 0.9833333333333333, 0.65, 482.4, 3652.0, 39.0
surrogate, 98, 0.8074999999999999, 0.9833333333333333, 0.65, 482.4, 3652.0, 39.0
surrogate, 99, 0.8091666666666665, 0.9833333333333333, 0.65, 482.55, 3652.0, 39.0
surrogate, 100, 0.8091666666666665, 0.9833333333333333, 0.65, 482.55, 3652.0, 39.0
