method, generation, latency, ar
surrogate, 1, 2691.0, 0.9166666666666666
surrogate, 1, 1172.0, 0.9
surrogate, 1, 613.0, 0.8666666666666667
surrogate, 1, 580.0, 0.8166666666666667
surrogate, 1, 528.0, 0.7166666666666667
surrogate, 2, 2511.0, 0.9333333333333333
surrogate, 2, 1172.0, 0.9
surrogate, 2, 613.0, 0.8666666666666667
surrogate, 2, 580.0, 0.8166666666666667
surrogate, 2, 231.0, 0.7833333333333333
surrogate, 3, 2511.0, 0.9333333333333333
surrogate, 3, 1172.0, 0.9
surrogate, 3, 1058.0, 0.8833333333333333
surrogate, 3, 613.0, 0.8666666666666667
surrogate, 3, 391.0, 0.85
surrogate, 3, 230.0, 0.8166666666666667
surrogate, 3, 189.0, 0.7833333333333333
surrogate, 4, 4127.0, 0.9833333333333333
surrogate, 4, 2511.0, 0.9333333333333333
surrogate, 4, 1172.0, 0.9
surrogate, 4, 1058.0, 0.8833333333333333
surrogate, 4, 613.0, 0.8666666666666667
surrogate, 4, 391.0, 0.85
surrogate, 4, 89.0, 0.8333333333333334
surrogate, 5, 4127.0, 0.9833333333333333
surrogate, 5, 2511.0, 0.9333333333333333
surrogate, 5, 2252.0, 0.9166666666666666
surrogate, 5, 1172.0, 0.9
surrogate, 5, 1058.0, 0.8833333333333333
surrogate, 5, 613.0, 0.8666666666666667
surrogate, 5, 391.0, 0.85
surrogate, 5, 89.0, 0.8333333333333334
surrogate, 6, 4127.0, 0.9833333333333333
surrogate, 6, 2511.0, 0.9333333333333333
surrogate, 6, 2252.0, 0.9166666666666666
surrogate, 6, 1172.0, 0.9
surrogate, 6, 143.0, 0.8833333333333333
surrogate, 6, 138.0, 0.8666666666666667
surrogate, 6, 89.0, 0.8333333333333334
surrogate, 7, 4127.0, 0.9833333333333333
surrogate, 7, 3557.0, 0.9666666666666667
surrogate, 7, 2511.0, 0.9333333333333333
surrogate, 7, 2252.0, 0.9166666666666666
surrogate, 7, 1172.0, 0.9
surrogate, 7, 141.0, 0.8833333333333333
surrogate, 7, 138.0, 0.8666666666666667
surrogate, 7, 89.0, 0.8333333333333334
surrogate, 8, 4127.0, 0.9833333333333333
surrogate, 8, 3557.0, 0.9666666666666667
surrogate, 8, 2511.0, 0.9333333333333333
surrogate, 8, 1490.0, 0.9166666666666666
surrogate, 8, 1116.0, 0.9
surrogate, 8, 141.0, 0.8833333333333333
