method, generation, latency, ar
surrogate, 1, 38.0, 0.9722222222222222
surrogate, 2, 38.0, 0.9722222222222222
surrogate, 2, 37.0, 0.8888888888888888
surrogate, 2, 37.0, 0.8888888888888888
surrogate, 2, 35.0, 0.75
surrogate, 3, 38.0, 0.9722222222222222
surrogate, 3, 37.0, 0.8888888888888888
surrogate, 3, 37.0, 0.8888888888888888
surrogate, 3, 37.0, 0.8888888888888888
surrogate, 3, 35.0, 0.75
surrogate, 3, 35.0, 0.75
surrogate, 4, 38.0, 0.9722222222222222
surrogate, 4, 37.0, 0.8888888888888888
surrogate, 4, 37.0, 0.8888888888888888
surrogate, 4, 37.0, 0.8888888888888888
surrogate, 4, 35.0, 0.75
surrogate, 4, 35.0, 0.75
surrogate, 5, 42.0, 1.0
surrogate, 5, 38.0, 0.9722222222222222
surrogate, 5, 38.0, 0.9722222222222222
surrogate, 5, 37.0, 0.8888888888888888
surrogate, 5, 37.0, 0.8888888888888888
surrogate, 5, 37.0, 0.8888888888888888
surrogate, 5, 37.0, 0.8888888888888888
surrogate, 5, 35.0, 0.75
surrogate, 5, 35.0, 0.75
emulator, 5.1, 38.0, 1.0
