# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
3.00,1.00,31.50,266.79,26.00,0.09,39.46
3.00,0.00,31.50,266.09,26.00,0.11,39.49
3.00,6.00,31.50,262.31,26.74,0.09,40.17
3.00,4.00,30.60,270.98,27.65,0.08,41.04
3.00,9.00,31.50,275.43,26.11,0.10,39.59
3.00,5.00,33.30,274.69,24.92,0.13,38.42
3.00,7.00,31.50,268.26,25.94,0.09,39.40
3.00,8.00,30.60,269.10,26.53,0.10,40.01
3.00,3.00,31.50,257.04,25.43,0.09,38.86
3.00,2.00,34.20,279.53,23.21,0.14,36.71
3.00,14.00,28.80,253.60,26.50,0.09,39.95
3.00,13.00,28.80,232.35,25.00,0.10,38.48
3.00,11.00,30.60,283.00,26.29,0.12,39.79
3.00,10.00,32.71,291.05,26.74,0.14,40.24
3.00,12.00,28.80,231.05,24.88,0.09,38.32
3.00,16.00,27.90,216.81,24.65,0.09,38.10
3.00,17.00,30.60,253.06,24.53,0.11,38.02
3.00,15.00,31.99,266.21,23.77,0.14,37.27
3.00,19.00,30.79,273.98,28.97,0.10,42.45
3.00,21.00,32.40,283.27,27.67,0.11,41.16
3.00,18.00,32.40,293.99,26.28,0.12,39.77
3.00,20.00,30.60,270.08,27.29,0.09,40.73
3.00,24.00,27.00,222.83,25.33,0.08,38.73
3.00,23.00,29.70,260.20,24.73,0.10,38.22
3.00,27.00,29.70,254.58,25.88,0.08,39.28
3.00,26.00,31.50,277.73,25.94,0.10,39.43
3.00,30.00,33.38,279.03,26.12,0.15,39.61
3.00,28.00,30.60,267.14,25.18,0.11,38.67
3.00,22.00,30.60,273.73,27.53,0.09,40.99
3.00,35.00,34.20,329.48,28.00,0.10,41.48
3.00,34.00,31.50,283.02,27.60,0.10,41.07
3.00,29.00,30.60,284.18,25.94,0.10,39.43
3.00,31.00,27.90,259.68,29.55,0.08,42.95
3.00,45.00,24.30,204.22,25.48,0.08,38.91
3.00,38.00,28.80,253.46,24.88,0.13,38.37
3.00,40.00,27.90,251.03,26.32,0.09,39.80
3.00,32.00,30.60,258.87,26.82,0.09,40.28
3.00,41.00,31.50,263.22,25.83,0.10,39.31
3.00,36.00,31.50,269.64,26.00,0.10,39.48
3.00,25.00,31.50,282.92,27.37,0.09,40.84
3.00,42.00,30.60,274.34,26.71,0.10,40.19
3.00,43.00,35.10,296.25,23.38,0.16,36.88
3.00,33.00,30.60,267.90,25.12,0.10,38.60
3.00,51.00,27.90,255.85,27.94,0.09,41.41
3.00,46.00,27.90,236.55,26.26,0.08,39.69
3.00,50.00,30.60,280.40,27.29,0.10,40.78
3.00,37.00,32.40,280.35,26.56,0.10,40.04
3.00,39.00,32.40,277.67,26.11,0.12,39.61
3.00,49.00,33.30,268.46,25.51,0.10,39.00
3.00,47.00,31.50,297.73,28.00,0.09,41.44
3.00,48.00,31.50,282.37,27.14,0.09,40.60
3.00,58.00,27.90,241.13,26.65,0.10,40.13
3.00,70.00,25.20,226.00,27.57,0.08,40.97
3.00,73.00,29.70,260.51,26.48,0.09,39.96
3.00,67.00,29.11,246.54,27.56,0.08,40.98
3.00,44.00,32.40,264.97,25.22,0.09,38.69
3.00,53.00,27.90,239.49,25.94,0.10,39.42
3.00,55.00,31.50,293.31,27.20,0.09,40.66
3.00,59.00,32.40,276.80,26.56,0.10,40.03
3.00,52.00,32.40,273.04,26.89,0.08,40.30
3.00,54.00,32.40,277.80,25.89,0.10,39.38
3.00,56.00,32.40,260.42,24.89,0.12,38.38
3.00,57.00,32.40,276.85,25.11,0.09,38.56
3.00,65.00,29.70,249.29,26.36,0.09,39.82
3.00,68.00,30.60,257.15,26.12,0.08,39.53
3.00,85.00,30.60,259.89,25.53,0.10,39.01
3.00,63.00,30.50,252.87,25.03,0.14,38.53
3.00,72.00,30.35,255.56,26.30,0.10,39.78
3.00,69.00,30.60,263.16,26.41,0.10,39.90
3.00,62.00,32.11,269.07,25.15,0.13,38.65
3.00,61.00,27.90,248.17,26.84,0.09,40.28
3.00,75.00,30.60,269.51,27.47,0.10,40.95
3.00,74.00,30.60,270.03,26.35,0.10,39.84
3.00,64.00,30.60,264.27,27.12,0.07,40.41
3.00,71.00,28.80,245.36,26.88,0.08,40.31
3.00,66.00,32.40,270.90,24.28,0.14,37.77
3.00,76.00,32.40,282.53,26.72,0.10,40.21
3.00,78.00,33.78,297.80,25.37,0.11,38.87
3.00,60.00,29.70,234.64,25.33,0.08,38.71
3.00,92.00,27.00,226.26,26.00,0.09,39.47
3.00,91.00,30.60,267.27,25.88,0.12,39.38
3.00,93.00,26.10,231.46,28.21,0.08,41.59
3.00,87.00,29.70,238.39,25.21,0.09,38.66
3.00,79.00,28.80,282.67,27.62,0.12,41.12
3.00,81.00,32.40,285.36,27.06,0.08,40.47
3.00,89.00,31.50,264.72,26.34,0.10,39.82
3.00,80.00,31.50,283.82,28.00,0.10,41.49
3.00,82.00,31.50,265.67,24.86,0.12,38.35
3.00,83.00,32.40,273.29,25.33,0.10,38.81
3.00,84.00,32.40,276.67,25.89,0.09,39.35
3.00,88.00,28.80,233.94,26.00,0.07,39.33
3.00,77.00,30.60,254.63,24.47,0.08,37.89
3.00,90.00,30.60,242.15,24.65,0.09,38.09
3.00,95.00,28.80,230.44,25.62,0.08,38.97
3.00,94.00,29.50,259.71,27.61,0.12,41.11
3.00,99.00,29.70,276.18,27.09,0.11,40.58
3.00,98.00,30.60,285.17,27.24,0.10,40.72
3.00,96.00,31.50,279.35,26.23,0.09,39.69
3.00,86.00,32.40,290.84,26.00,0.12,39.50
3.00,97.00,34.20,286.84,25.11,0.11,38.60
