method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8469999999999999, 0.9166666666666666, 0.7666666666666667, 967.95, 2519.0, 41.0
surrogate, 2, 0.8628333333333333, 0.9333333333333333, 0.75, 697.25, 2509.0, 41.0
surrogate, 3, 0.8619999999999999, 0.9333333333333333, 0.75, 592.25, 2509.0, 41.0
surrogate, 4, 0.8583333333333334, 0.9333333333333333, 0.75, 423.7, 2509.0, 41.0
surrogate, 5, 0.8691666666666669, 0.9333333333333333, 0.75, 332.25, 2509.0, 40.0
surrogate, 6, 0.865, 0.9333333333333333, 0.75, 139.2, 890.0, 40.0
surrogate, 7, 0.875, 0.95, 0.7666666666666667, 115.5, 881.0, 39.0
surrogate, 8, 0.8766666666666666, 0.95, 0.7666666666666667, 139.25, 881.0, 39.0
surrogate, 9, 0.8799999999999999, 0.95, 0.7666666666666667, 159.15, 887.0, 39.0
surrogate, 10, 0.8841666666666667, 0.95, 0.7833333333333333, 159.15, 887.0, 39.0
surrogate, 11, 0.8816666666666666, 0.95, 0.7833333333333333, 156.7, 887.0, 39.0
surrogate, 12, 0.875, 0.95, 0.7333333333333333, 114.6, 887.0, 38.0
surrogate, 13, 0.8758333333333335, 0.95, 0.7333333333333333, 114.6, 887.0, 38.0
surrogate, 14, 0.8766666666666666, 0.95, 0.7333333333333333, 73.5, 409.0, 38.0
