method, generation, latency, ar
surrogate, 1, 1966.0, 0.9166666666666666
surrogate, 1, 920.0, 0.9
surrogate, 1, 781.0, 0.8833333333333333
surrogate, 1, 500.0, 0.8566666666666667
surrogate, 1, 344.0, 0.85
surrogate, 1, 41.0, 0.8
surrogate, 2, 2509.0, 0.9333333333333333
surrogate, 2, 1966.0, 0.9166666666666666
surrogate, 2, 59.0, 0.9
surrogate, 2, 41.0, 0.8
surrogate, 3, 2509.0, 0.9333333333333333
surrogate, 3, 950.0, 0.9166666666666666
surrogate, 3, 59.0, 0.9
surrogate, 3, 41.0, 0.8833333333333333
surrogate, 4, 2509.0, 0.9333333333333333
surrogate, 4, 950.0, 0.9166666666666666
surrogate, 4, 44.0, 0.9
surrogate, 4, 41.0, 0.8833333333333333
surrogate, 5, 275.0, 0.9333333333333333
surrogate, 5, 44.0, 0.9
surrogate, 5, 41.0, 0.8833333333333333
surrogate, 5, 40.0, 0.85
surrogate, 6, 50.0, 0.9333333333333333
surrogate, 6, 44.0, 0.9
surrogate, 6, 41.0, 0.8833333333333333
surrogate, 6, 40.0, 0.85
surrogate, 7, 409.0, 0.95
surrogate, 7, 50.0, 0.9333333333333333
surrogate, 7, 44.0, 0.9
surrogate, 7, 44.0, 0.9
surrogate, 7, 41.0, 0.8833333333333333
surrogate, 7, 40.0, 0.85
surrogate, 7, 39.0, 0.8166666666666667
surrogate, 8, 409.0, 0.95
surrogate, 8, 50.0, 0.9333333333333333
surrogate, 8, 44.0, 0.9
surrogate, 8, 44.0, 0.9
surrogate, 8, 41.0, 0.8833333333333333
surrogate, 8, 40.0, 0.85
surrogate, 8, 39.0, 0.8166666666666667
surrogate, 9, 409.0, 0.95
surrogate, 9, 50.0, 0.9333333333333333
surrogate, 9, 47.0, 0.9166666666666666
surrogate, 9, 44.0, 0.9
surrogate, 9, 44.0, 0.9
surrogate, 9, 41.0, 0.8833333333333333
surrogate, 9, 40.0, 0.85
surrogate, 9, 39.0, 0.8166666666666667
surrogate, 10, 409.0, 0.95
surrogate, 10, 50.0, 0.9333333333333333
surrogate, 10, 47.0, 0.9166666666666666
surrogate, 10, 44.0, 0.9
surrogate, 10, 44.0, 0.9
surrogate, 10, 41.0, 0.8833333333333333
surrogate, 10, 40.0, 0.85
surrogate, 10, 39.0, 0.8166666666666667
surrogate, 10, 39.0, 0.8166666666666667
surrogate, 11, 409.0, 0.95
surrogate, 11, 50.0, 0.9333333333333333
surrogate, 11, 45.0, 0.9166666666666666
surrogate, 11, 44.0, 0.9
surrogate, 11, 44.0, 0.9
surrogate, 11, 41.0, 0.8833333333333333
surrogate, 11, 40.0, 0.85
surrogate, 11, 39.0, 0.8166666666666667
surrogate, 11, 39.0, 0.8166666666666667
surrogate, 12, 409.0, 0.95
surrogate, 12, 50.0, 0.9333333333333333
surrogate, 12, 45.0, 0.9166666666666666
surrogate, 12, 44.0, 0.9
surrogate, 12, 44.0, 0.9
surrogate, 12, 41.0, 0.8833333333333333
surrogate, 12, 40.0, 0.85
surrogate, 12, 39.0, 0.8166666666666667
surrogate, 12, 39.0, 0.8166666666666667
surrogate, 12, 38.0, 0.7333333333333333
surrogate, 13, 409.0, 0.95
surrogate, 13, 50.0, 0.9333333333333333
surrogate, 13, 45.0, 0.9166666666666666
surrogate, 13, 44.0, 0.9
surrogate, 13, 44.0, 0.9
surrogate, 13, 41.0, 0.8833333333333333
surrogate, 13, 40.0, 0.85
surrogate, 13, 39.0, 0.8166666666666667
surrogate, 13, 39.0, 0.8166666666666667
surrogate, 13, 38.0, 0.7333333333333333
surrogate, 14, 69.0, 0.95
surrogate, 14, 50.0, 0.9333333333333333
surrogate, 14, 45.0, 0.9166666666666666
surrogate, 14, 44.0, 0.9
surrogate, 14, 44.0, 0.9
surrogate, 14, 41.0, 0.8833333333333333
surrogate, 14, 40.0, 0.85
surrogate, 14, 39.0, 0.8166666666666667
surrogate, 14, 39.0, 0.8166666666666667
surrogate, 14, 38.0, 0.7333333333333333
