method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.82875, 0.9125, 0.75, 46.95, 57.0, 39.0
surrogate, 2, 0.8481250000000001, 0.9125, 0.7375, 45.35, 48.0, 39.0
surrogate, 3, 0.85625, 0.9125, 0.7375, 44.85, 47.0, 39.0
surrogate, 4, 0.8681249999999998, 0.9125, 0.75, 43.75, 47.0, 39.0
surrogate, 5, 0.8674999999999999, 0.9125, 0.775, 42.85, 47.0, 38.0
surrogate, 6, 0.8637499999999999, 0.9125, 0.775, 41.95, 46.0, 38.0
surrogate, 7, 0.858125, 0.9125, 0.625, 41.7, 46.0, 36.0
surrogate, 8, 0.8637499999999999, 0.9125, 0.625, 41.5, 46.0, 36.0
surrogate, 9, 0.8637499999999999, 0.925, 0.625, 41.2, 46.0, 36.0
surrogate, 10, 0.86625, 0.925, 0.625, 41.4, 52.0, 36.0
surrogate, 11, 0.8706249999999999, 0.95, 0.625, 42.95, 71.0, 36.0
