method, generation, latency, ar
surrogate, 1, 117.0, 0.9375
surrogate, 1, 45.0, 0.9125
surrogate, 1, 43.0, 0.8375
surrogate, 2, 117.0, 0.9375
surrogate, 2, 45.0, 0.9125
surrogate, 2, 43.0, 0.8625
surrogate, 2, 40.0, 0.825
surrogate, 2, 38.0, 0.75
surrogate, 3, 117.0, 0.9375
surrogate, 3, 45.0, 0.9125
surrogate, 3, 45.0, 0.9125
surrogate, 3, 39.0, 0.8625
surrogate, 3, 37.0, 0.8
surrogate, 4, 47.0, 0.95
surrogate, 4, 45.0, 0.9125
surrogate, 4, 45.0, 0.9125
surrogate, 4, 43.0, 0.875
surrogate, 4, 39.0, 0.8625
surrogate, 4, 37.0, 0.8
