method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8556249999999999, 0.9, 0.775, 47.2, 49.0, 46.0
surrogate, 2, 0.8856250000000001, 0.925, 0.8375, 47.05, 49.0, 46.0
surrogate, 3, 0.898125, 0.9375, 0.8375, 46.85, 48.0, 46.0
surrogate, 4, 0.900625, 0.9375, 0.8625, 46.8, 48.0, 46.0
surrogate, 5, 0.9024999999999999, 0.9375, 0.8625, 46.9, 48.0, 46.0
surrogate, 6, 0.9037499999999999, 0.9375, 0.8625, 46.85, 48.0, 46.0
surrogate, 7, 0.9018750000000001, 0.9375, 0.8625, 46.8, 48.0, 46.0
surrogate, 8, 0.905, 0.9375, 0.8625, 46.85, 48.0, 46.0
surrogate, 9, 0.905, 0.9375, 0.8625, 46.85, 48.0, 46.0
surrogate, 10, 0.906875, 0.9375, 0.875, 46.7, 48.0, 46.0
surrogate, 11, 0.9087500000000001, 0.9375, 0.875, 46.75, 48.0, 46.0
surrogate, 12, 0.9093750000000002, 0.9375, 0.875, 46.75, 48.0, 46.0
surrogate, 13, 0.91375, 0.9375, 0.8875, 46.85, 48.0, 46.0
surrogate, 14, 0.9175000000000002, 0.9375, 0.9, 46.8, 48.0, 46.0
surrogate, 15, 0.9181250000000002, 0.9375, 0.9, 46.75, 48.0, 46.0
surrogate, 16, 0.91875, 0.9375, 0.9, 46.7, 48.0, 46.0
surrogate, 17, 0.9149999999999998, 0.9375, 0.8375, 46.6, 48.0, 45.0
surrogate, 18, 0.9168749999999999, 0.9375, 0.8375, 46.7, 48.0, 45.0
surrogate, 19, 0.9181250000000001, 0.9375, 0.8375, 46.75, 48.0, 45.0
surrogate, 20, 0.9193749999999999, 0.9375, 0.8375, 46.8, 48.0, 45.0
surrogate, 21, 0.92125, 0.9375, 0.8375, 46.95, 49.0, 45.0
surrogate, 22, 0.92125, 0.9375, 0.8375, 46.95, 49.0, 45.0
surrogate, 23, 0.9231250000000001, 0.9625, 0.8375, 46.95, 49.0, 45.0
