method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.844375, 0.925, 0.7375, 47.2, 50.0, 46.0
surrogate, 2, 0.8843750000000001, 0.9375, 0.7875, 46.95, 48.0, 46.0
surrogate, 3, 0.8974999999999997, 0.9375, 0.8125, 47.0, 48.0, 46.0
surrogate, 4, 0.9037499999999999, 0.9375, 0.8375, 47.0, 48.0, 45.0
surrogate, 5, 0.9012500000000001, 0.9375, 0.75, 46.55, 48.0, 38.0
surrogate, 6, 0.905625, 0.9375, 0.75, 46.6, 48.0, 38.0
surrogate, 7, 0.905625, 0.9375, 0.75, 46.55, 48.0, 38.0
surrogate, 8, 0.9068750000000003, 0.9375, 0.75, 46.6, 48.0, 38.0
surrogate, 9, 0.9093750000000002, 0.9375, 0.75, 46.55, 48.0, 38.0
surrogate, 10, 0.9093750000000002, 0.9375, 0.75, 46.55, 48.0, 38.0
surrogate, 11, 0.9100000000000001, 0.9375, 0.75, 46.6, 48.0, 38.0
surrogate, 12, 0.9106250000000001, 0.9375, 0.75, 46.6, 48.0, 38.0
surrogate, 13, 0.9112500000000002, 0.9375, 0.75, 46.5, 49.0, 38.0
surrogate, 14, 0.9118750000000002, 0.9375, 0.75, 46.5, 49.0, 38.0
surrogate, 15, 0.909375, 0.9375, 0.75, 46.35, 49.0, 38.0
surrogate, 16, 0.900625, 0.9375, 0.75, 46.2, 49.0, 38.0
surrogate, 17, 0.905625, 0.9375, 0.75, 46.2, 49.0, 38.0
surrogate, 18, 0.9100000000000001, 0.9375, 0.75, 46.1, 48.0, 38.0
surrogate, 19, 0.9100000000000001, 0.9375, 0.75, 46.1, 48.0, 38.0
surrogate, 20, 0.9131250000000002, 0.9375, 0.75, 46.1, 48.0, 38.0
surrogate, 21, 0.914375, 0.95, 0.75, 46.15, 48.0, 38.0
