method, generation, latency, ar
surrogate, 1, 48.0, 0.925
surrogate, 1, 47.0, 0.875
surrogate, 1, 47.0, 0.875
surrogate, 1, 46.0, 0.825
surrogate, 2, 48.0, 0.925
surrogate, 2, 47.0, 0.8875
surrogate, 2, 47.0, 0.8875
surrogate, 2, 47.0, 0.8875
surrogate, 2, 46.0, 0.8625
surrogate, 3, 48.0, 0.925
surrogate, 3, 47.0, 0.9
surrogate, 3, 47.0, 0.9
surrogate, 3, 47.0, 0.9
surrogate, 3, 44.0, 0.8625
surrogate, 4, 48.0, 0.9375
surrogate, 4, 46.0, 0.9125
surrogate, 4, 44.0, 0.8625
surrogate, 5, 48.0, 0.9375
surrogate, 5, 46.0, 0.9125
surrogate, 5, 44.0, 0.8625
surrogate, 6, 48.0, 0.9375
surrogate, 6, 48.0, 0.9375
surrogate, 6, 47.0, 0.925
surrogate, 6, 47.0, 0.925
surrogate, 6, 46.0, 0.9125
surrogate, 6, 46.0, 0.9125
surrogate, 6, 44.0, 0.8625
surrogate, 7, 46.0, 0.9625
surrogate, 7, 44.0, 0.8625
