mutation_pb,individual_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.2,0.2,20,8.85,6.0,32,1,3.75,11.5,7.75,3.73,5.12-12.58,7.97,20,100.0,397.96,372.1,159.08,508.38,349.31,174.15,223.81-572.11
0.2,0.5,20,6.75,6.0,18,1,3.75,9.0,5.25,2.04,4.71-8.79,4.37,20,100.0,296.33,192.86,163.56,390.3,226.74,90.26,206.07-386.59
0.2,0.7,20,6.45,5.5,18,1,2.0,8.75,6.75,2.47,3.98-8.92,5.28,20,100.0,282.09,232.11,82.87,395.53,312.66,108.63,173.46-390.72
0.2,1.0,20,5.95,4.0,16,1,2.0,8.25,6.25,2.13,3.82-8.08,4.55,20,100.0,262.16,202.81,88.22,363.55,275.33,94.92,167.24-357.08
0.5,0.2,20,7.55,6.0,26,1,3.0,10.25,7.25,2.71,4.84-10.26,5.8,20,100.0,334.25,257.86,130.2,447.27,317.07,120.68,213.57-454.93
0.5,0.5,20,8.25,7.0,21,1,4.75,11.0,6.25,2.29,5.96-10.54,4.9,20,100.0,373.29,226.51,212.27,501.16,288.88,106.01,267.28-479.3
0.5,0.7,20,8.05,4.5,26,2,3.0,13.0,10.0,3.42,4.63-11.47,7.31,20,100.0,361.76,333.63,127.56,580.15,452.59,156.15,205.61-517.92
0.5,1.0,20,8.2,9.0,23,1,4.0,10.0,6.0,2.36,5.84-10.56,5.04,20,100.0,363.55,222.04,177.26,443.07,265.81,103.92,259.63-467.47
0.7,0.2,20,8.5,4.0,36,1,2.0,8.5,6.5,4.64,3.86-13.14,9.92,20,100.0,379.02,445.78,88.9,386.58,297.69,208.63,170.39-587.65
0.7,0.5,20,7.3,6.5,21,1,3.0,9.5,6.5,2.43,4.87-9.73,5.19,20,100.0,323.43,234.12,127.59,420.89,293.3,109.57,213.86-433.0
0.7,0.7,20,5.05,3.5,13,1,1.75,6.75,5.0,1.99,3.06-7.04,4.25,20,100.0,224.43,190.61,73.66,298.21,224.55,89.21,135.22-313.64
0.7,1.0,20,6.35,6.5,21,1,2.0,8.25,6.25,2.27,4.08-8.62,4.84,20,100.0,280.57,215.71,86.03,363.88,277.84,100.96,179.61-381.53
1.0,0.2,20,9.15,7.0,30,2,5.0,9.25,4.25,3.31,5.84-12.46,7.07,20,100.0,403.88,312.34,219.39,406.75,187.36,146.18,257.7-550.06
1.0,0.5,20,7.7,5.5,16,1,3.75,12.0,8.25,2.45,5.25-10.15,5.24,20,100.0,340.75,233.97,162.55,517.91,355.36,109.5,231.25-450.25
1.0,0.7,20,5.55,4.0,22,1,2.0,6.25,4.25,2.29,3.26-7.84,4.89,20,100.0,247.45,222.64,90.52,277.45,186.93,104.2,143.25-351.65
1.0,1.0,20,5.7,5.0,15,1,3.0,9.0,6.0,1.77,3.93-7.47,3.78,20,100.0,258.93,176.75,131.46,398.02,266.55,82.72,176.21-341.65
