method, generation, latency, ar
surrogate, 1, 117.0, 0.9166666666666666
surrogate, 1, 47.0, 0.9
surrogate, 1, 41.0, 0.8166666666666667
surrogate, 1, 40.0, 0.7833333333333333
surrogate, 2, 380.0, 0.9333333333333333
surrogate, 2, 49.0, 0.9166666666666666
surrogate, 2, 47.0, 0.9
surrogate, 2, 44.0, 0.8333333333333334
surrogate, 2, 41.0, 0.8166666666666667
surrogate, 2, 39.0, 0.7833333333333333
surrogate, 3, 179.0, 0.95
surrogate, 3, 51.0, 0.9333333333333333
surrogate, 3, 49.0, 0.9166666666666666
surrogate, 3, 47.0, 0.9
surrogate, 3, 47.0, 0.9
surrogate, 3, 43.0, 0.85
surrogate, 3, 41.0, 0.8166666666666667
surrogate, 3, 39.0, 0.7833333333333333
surrogate, 4, 179.0, 0.95
surrogate, 4, 51.0, 0.9333333333333333
surrogate, 4, 49.0, 0.9166666666666666
surrogate, 4, 47.0, 0.9
surrogate, 4, 47.0, 0.9
surrogate, 4, 43.0, 0.85
surrogate, 4, 40.0, 0.8333333333333334
surrogate, 4, 39.0, 0.7833333333333333
surrogate, 5, 179.0, 0.95
surrogate, 5, 51.0, 0.9333333333333333
surrogate, 5, 49.0, 0.9166666666666666
surrogate, 5, 47.0, 0.9
surrogate, 5, 47.0, 0.9
surrogate, 5, 42.0, 0.85
surrogate, 5, 40.0, 0.8333333333333334
surrogate, 5, 39.0, 0.7833333333333333
surrogate, 5, 39.0, 0.7833333333333333
surrogate, 6, 64.0, 0.95
surrogate, 6, 51.0, 0.9333333333333333
surrogate, 6, 49.0, 0.9166666666666666
surrogate, 6, 47.0, 0.9
surrogate, 6, 47.0, 0.9
surrogate, 6, 45.0, 0.8666666666666667
surrogate, 6, 42.0, 0.85
surrogate, 6, 40.0, 0.8333333333333334
surrogate, 6, 39.0, 0.7833333333333333
surrogate, 6, 39.0, 0.7833333333333333
