method, generation, latency, ar
surrogate, 1, 56.0, 0.9166666666666666
surrogate, 1, 54.0, 0.9
surrogate, 1, 36.0, 0.85
surrogate, 2, 56.0, 0.9166666666666666
surrogate, 2, 54.0, 0.9
surrogate, 2, 40.0, 0.8833333333333333
surrogate, 2, 36.0, 0.85
surrogate, 2, 36.0, 0.85
surrogate, 3, 36.0, 0.9333333333333333
surrogate, 3, 35.0, 0.8166666666666667
surrogate, 4, 36.0, 0.9333333333333333
surrogate, 4, 36.0, 0.9333333333333333
surrogate, 4, 35.0, 0.8833333333333333
surrogate, 5, 36.0, 0.9333333333333333
surrogate, 5, 36.0, 0.9333333333333333
surrogate, 5, 35.0, 0.8833333333333333
surrogate, 6, 36.0, 0.9333333333333333
surrogate, 6, 36.0, 0.9333333333333333
surrogate, 6, 35.0, 0.8833333333333333
surrogate, 7, 36.0, 0.9333333333333333
surrogate, 7, 36.0, 0.9333333333333333
surrogate, 7, 35.0, 0.8833333333333333
surrogate, 8, 36.0, 0.9333333333333333
surrogate, 8, 36.0, 0.9333333333333333
surrogate, 8, 35.0, 0.8833333333333333
surrogate, 9, 36.0, 0.9333333333333333
surrogate, 9, 36.0, 0.9333333333333333
surrogate, 9, 35.0, 0.8833333333333333
surrogate, 10, 36.0, 0.9333333333333333
surrogate, 10, 36.0, 0.9333333333333333
surrogate, 10, 35.0, 0.8833333333333333
surrogate, 11, 401.0, 0.95
surrogate, 11, 36.0, 0.9333333333333333
surrogate, 11, 36.0, 0.9333333333333333
surrogate, 11, 35.0, 0.8833333333333333
surrogate, 12, 401.0, 0.95
surrogate, 12, 36.0, 0.9333333333333333
surrogate, 12, 36.0, 0.9333333333333333
surrogate, 12, 36.0, 0.9333333333333333
surrogate, 12, 35.0, 0.8833333333333333
surrogate, 13, 401.0, 0.95
surrogate, 13, 36.0, 0.9333333333333333
surrogate, 13, 36.0, 0.9333333333333333
surrogate, 13, 36.0, 0.9333333333333333
surrogate, 13, 35.0, 0.8833333333333333
surrogate, 13, 35.0, 0.8833333333333333
surrogate, 14, 401.0, 0.95
surrogate, 14, 36.0, 0.9333333333333333
surrogate, 14, 36.0, 0.9333333333333333
surrogate, 14, 36.0, 0.9333333333333333
surrogate, 14, 35.0, 0.8833333333333333
surrogate, 14, 35.0, 0.8833333333333333
surrogate, 15, 401.0, 0.95
surrogate, 15, 36.0, 0.9333333333333333
surrogate, 15, 36.0, 0.9333333333333333
surrogate, 15, 36.0, 0.9333333333333333
surrogate, 15, 35.0, 0.8833333333333333
surrogate, 15, 35.0, 0.8833333333333333
surrogate, 16, 401.0, 0.95
surrogate, 16, 36.0, 0.9333333333333333
surrogate, 16, 36.0, 0.9333333333333333
surrogate, 16, 36.0, 0.9333333333333333
surrogate, 16, 35.0, 0.8833333333333333
surrogate, 16, 35.0, 0.8833333333333333
surrogate, 17, 59.0, 0.9666666666666667
surrogate, 17, 36.0, 0.9333333333333333
surrogate, 17, 36.0, 0.9333333333333333
surrogate, 17, 36.0, 0.9333333333333333
surrogate, 17, 35.0, 0.8833333333333333
surrogate, 17, 35.0, 0.8833333333333333
