method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8043750000000001, 0.8875, 0.7125, 47.3, 49.0, 45.0
surrogate, 2, 0.825, 0.8875, 0.7625, 46.95, 49.0, 45.0
surrogate, 3, 0.8256249999999999, 0.8875, 0.725, 46.8, 49.0, 45.0
surrogate, 4, 0.835, 0.8875, 0.775, 46.85, 49.0, 45.0
surrogate, 5, 0.8425, 0.8875, 0.7875, 46.6, 48.0, 45.0
surrogate, 6, 0.843125, 0.9, 0.775, 46.5, 48.0, 45.0
surrogate, 7, 0.8575000000000002, 0.9, 0.7875, 46.5, 48.0, 44.0
surrogate, 8, 0.85875, 0.9, 0.8, 46.5, 48.0, 44.0
surrogate, 9, 0.8618750000000001, 0.9, 0.8, 46.5, 48.0, 44.0
surrogate, 10, 0.86875, 0.9, 0.8125, 46.4, 48.0, 44.0
surrogate, 11, 0.8731250000000002, 0.9125, 0.8125, 46.3, 48.0, 44.0
surrogate, 12, 0.8799999999999999, 0.925, 0.825, 46.05, 48.0, 44.0
surrogate, 13, 0.88375, 0.925, 0.825, 46.1, 48.0, 44.0
surrogate, 14, 0.885, 0.925, 0.825, 46.1, 48.0, 44.0
surrogate, 15, 0.8868750000000001, 0.925, 0.825, 46.0, 48.0, 44.0
surrogate, 16, 0.889375, 0.925, 0.8375, 45.85, 48.0, 44.0
surrogate, 17, 0.8893749999999999, 0.925, 0.8375, 45.6, 48.0, 44.0
surrogate, 18, 0.8924999999999998, 0.9375, 0.8375, 45.7, 48.0, 44.0
surrogate, 19, 0.8956250000000001, 0.9375, 0.85, 45.7, 48.0, 44.0
surrogate, 20, 0.8975000000000002, 0.9375, 0.85, 45.55, 48.0, 44.0
surrogate, 21, 0.89875, 0.9375, 0.85, 45.4, 48.0, 44.0
surrogate, 22, 0.9018750000000001, 0.95, 0.85, 45.2, 48.0, 44.0
