method, generation, latency, ar
surrogate, 1, 44.0, 0.925
surrogate, 1, 42.0, 0.8625
surrogate, 2, 44.0, 0.925
surrogate, 2, 42.0, 0.8875
surrogate, 3, 44.0, 0.925
surrogate, 3, 42.0, 0.8875
surrogate, 4, 44.0, 0.925
surrogate, 4, 42.0, 0.8875
surrogate, 5, 120.0, 0.975
surrogate, 5, 44.0, 0.925
surrogate, 5, 42.0, 0.8875
surrogate, 6, 120.0, 0.975
surrogate, 6, 44.0, 0.925
surrogate, 6, 43.0, 0.9125
surrogate, 6, 42.0, 0.8875
surrogate, 7, 120.0, 0.975
surrogate, 7, 47.0, 0.9375
surrogate, 7, 44.0, 0.925
surrogate, 7, 43.0, 0.9125
surrogate, 7, 42.0, 0.8875
surrogate, 8, 120.0, 0.975
surrogate, 8, 47.0, 0.9375
surrogate, 8, 44.0, 0.925
surrogate, 8, 44.0, 0.925
surrogate, 8, 43.0, 0.9125
surrogate, 8, 42.0, 0.8875
surrogate, 9, 120.0, 0.975
surrogate, 9, 53.0, 0.95
surrogate, 9, 47.0, 0.9375
surrogate, 9, 44.0, 0.925
surrogate, 9, 44.0, 0.925
surrogate, 9, 43.0, 0.9125
surrogate, 9, 43.0, 0.9125
surrogate, 9, 42.0, 0.8875
