method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.850625, 0.9125, 0.7875, 49.6, 93.0, 46.0
surrogate, 2, 0.884375, 0.925, 0.825, 47.2, 49.0, 45.0
surrogate, 3, 0.8893749999999999, 0.925, 0.825, 47.15, 49.0, 45.0
surrogate, 4, 0.8868749999999999, 0.925, 0.825, 46.85, 48.0, 45.0
surrogate, 5, 0.880625, 0.925, 0.8, 46.65, 48.0, 45.0
surrogate, 6, 0.8868749999999999, 0.925, 0.8, 46.65, 48.0, 45.0
surrogate, 7, 0.8943749999999999, 0.925, 0.8, 46.7, 48.0, 45.0
surrogate, 8, 0.898125, 0.925, 0.8, 46.75, 48.0, 45.0
surrogate, 9, 0.905, 0.9375, 0.8375, 46.75, 48.0, 45.0
surrogate, 10, 0.9106250000000001, 0.9625, 0.8375, 46.75, 48.0, 45.0
