method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8583333333333334, 0.9333333333333333, 0.7666666666666667, 171.15, 886.0, 41.0
surrogate, 2, 0.8724999999999998, 0.9333333333333333, 0.7833333333333333, 110.35, 584.0, 39.0
surrogate, 3, 0.8775000000000001, 0.95, 0.75, 124.25, 858.0, 39.0
surrogate, 4, 0.8733333333333334, 0.95, 0.6833333333333333, 161.2, 907.0, 39.0
surrogate, 5, 0.8783333333333333, 0.95, 0.75, 157.55, 907.0, 39.0
surrogate, 6, 0.8675, 0.95, 0.7333333333333333, 86.1, 858.0, 38.0
surrogate, 7, 0.8583333333333334, 0.95, 0.7, 85.75, 858.0, 38.0
surrogate, 8, 0.8583333333333334, 0.95, 0.7, 85.75, 858.0, 38.0
surrogate, 9, 0.85, 0.95, 0.7, 85.05, 858.0, 38.0
surrogate, 10, 0.85, 0.95, 0.7, 85.05, 858.0, 38.0
surrogate, 11, 0.865, 0.9666666666666667, 0.7, 140.75, 887.0, 38.0
surrogate, 12, 0.8583333333333334, 0.9666666666666667, 0.7, 99.45, 887.0, 38.0
