method, generation, latency, ar
surrogate, 1, 64.0, 0.9333333333333333
surrogate, 1, 55.0, 0.9
surrogate, 1, 49.0, 0.8666666666666667
surrogate, 1, 44.0, 0.85
surrogate, 1, 42.0, 0.8333333333333334
surrogate, 1, 41.0, 0.75
surrogate, 2, 665.0, 0.95
surrogate, 2, 64.0, 0.9333333333333333
surrogate, 2, 46.0, 0.9166666666666666
surrogate, 2, 44.0, 0.8833333333333333
surrogate, 2, 42.0, 0.8666666666666667
surrogate, 2, 40.0, 0.7666666666666667
surrogate, 3, 665.0, 0.95
surrogate, 3, 64.0, 0.9333333333333333
surrogate, 3, 46.0, 0.9166666666666666
surrogate, 3, 41.0, 0.8833333333333333
surrogate, 3, 39.0, 0.7666666666666667
surrogate, 4, 665.0, 0.95
surrogate, 4, 45.0, 0.9333333333333333
surrogate, 4, 41.0, 0.8833333333333333
surrogate, 4, 40.0, 0.7833333333333333
surrogate, 4, 39.0, 0.7666666666666667
surrogate, 5, 70.0, 0.95
surrogate, 5, 45.0, 0.9333333333333333
surrogate, 5, 41.0, 0.8833333333333333
surrogate, 5, 40.0, 0.7833333333333333
surrogate, 5, 39.0, 0.7666666666666667
