method, generation, latency, ar
surrogate, 1, 45.0, 0.6
surrogate, 1, 43.0, 0.45
surrogate, 1, 42.0, 0.225
surrogate, 1, 41.0, 0.15
surrogate, 1, 41.0, 0.15
surrogate, 1, 41.0, 0.15
surrogate, 1, 37.0, 0.05
surrogate, 2, 45.0, 0.6
surrogate, 2, 45.0, 0.6
surrogate, 2, 43.0, 0.45
surrogate, 2, 42.0, 0.225
surrogate, 2, 42.0, 0.225
surrogate, 2, 40.0, 0.15
surrogate, 2, 37.0, 0.05
surrogate, 2, 37.0, 0.05
surrogate, 3, 47.0, 0.65
surrogate, 3, 45.0, 0.6
surrogate, 3, 45.0, 0.6
surrogate, 3, 45.0, 0.6
surrogate, 3, 43.0, 0.45
surrogate, 3, 42.0, 0.225
surrogate, 3, 42.0, 0.225
surrogate, 3, 42.0, 0.225
surrogate, 3, 42.0, 0.225
surrogate, 3, 40.0, 0.15
surrogate, 3, 37.0, 0.05
surrogate, 3, 37.0, 0.05
surrogate, 3, 37.0, 0.05
surrogate, 3, 37.0, 0.05
surrogate, 4, 47.0, 0.65
surrogate, 4, 45.0, 0.6
surrogate, 4, 45.0, 0.6
surrogate, 4, 45.0, 0.6
surrogate, 4, 45.0, 0.6
surrogate, 4, 45.0, 0.6
surrogate, 4, 43.0, 0.45
surrogate, 4, 43.0, 0.45
surrogate, 4, 42.0, 0.225
surrogate, 4, 42.0, 0.225
surrogate, 4, 42.0, 0.225
surrogate, 4, 42.0, 0.225
surrogate, 4, 42.0, 0.225
surrogate, 4, 40.0, 0.15
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 4, 37.0, 0.05
surrogate, 5, 47.0, 0.65
surrogate, 5, 47.0, 0.65
surrogate, 5, 45.0, 0.6
surrogate, 5, 45.0, 0.6
surrogate, 5, 45.0, 0.6
surrogate, 5, 45.0, 0.6
surrogate, 5, 45.0, 0.6
surrogate, 5, 45.0, 0.6
surrogate, 5, 43.0, 0.45
surrogate, 5, 43.0, 0.45
surrogate, 5, 42.0, 0.225
surrogate, 5, 42.0, 0.225
surrogate, 5, 42.0, 0.225
surrogate, 5, 42.0, 0.225
surrogate, 5, 42.0, 0.225
surrogate, 5, 42.0, 0.225
surrogate, 5, 40.0, 0.15
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 5, 37.0, 0.05
surrogate, 6, 47.0, 0.65
surrogate, 6, 47.0, 0.65
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 45.0, 0.6
surrogate, 6, 43.0, 0.45
surrogate, 6, 43.0, 0.45
surrogate, 6, 43.0, 0.45
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 42.0, 0.225
surrogate, 6, 40.0, 0.15
surrogate, 6, 40.0, 0.15
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 6, 37.0, 0.05
surrogate, 7, 47.0, 0.65
surrogate, 7, 47.0, 0.65
