method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.12624999999999997, 0.35, 0.0, 5037.8, 50000.0, 39.0
surrogate, 2, 0.19375, 0.35, 0.025, 41.0, 43.0, 39.0
surrogate, 3, 0.21374999999999997, 0.35, 0.075, 40.7, 43.0, 39.0
surrogate, 4, 0.29, 0.35, 0.1, 41.5, 43.0, 39.0
surrogate, 5, 0.2875000000000001, 0.425, 0.25, 41.0, 43.0, 39.0
surrogate, 6, 0.29625, 0.425, 0.25, 40.85, 43.0, 39.0
surrogate, 7, 0.29500000000000004, 0.425, 0.25, 40.15, 43.0, 39.0
surrogate, 8, 0.3075, 0.425, 0.25, 40.2, 43.0, 39.0
surrogate, 9, 0.30625, 0.45, 0.275, 39.7, 44.0, 39.0
surrogate, 10, 0.3075000000000001, 0.45, 0.275, 39.8, 44.0, 39.0
surrogate, 11, 0.3087500000000001, 0.45, 0.275, 39.9, 44.0, 39.0
surrogate, 12, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 13, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 14, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 15, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 16, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 17, 0.31000000000000005, 0.45, 0.275, 40.0, 44.0, 39.0
surrogate, 18, 0.3087500000000001, 0.45, 0.275, 39.85, 44.0, 39.0
surrogate, 19, 0.31000000000000005, 0.45, 0.275, 39.9, 44.0, 39.0
surrogate, 20, 0.3012500000000001, 0.45, 0.275, 39.6, 43.0, 39.0
surrogate, 21, 0.31000000000000005, 0.45, 0.275, 39.8, 43.0, 39.0
surrogate, 22, 0.31000000000000005, 0.45, 0.275, 39.8, 43.0, 39.0
surrogate, 23, 0.28625000000000006, 0.45, 0.275, 39.25, 42.0, 39.0
surrogate, 24, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 25, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 26, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 27, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 28, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 29, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
surrogate, 30, 0.2950000000000001, 0.45, 0.275, 39.4, 42.0, 39.0
