method, generation, latency, ar
surrogate, 1, 48.0, 0.9
surrogate, 1, 45.0, 0.825
surrogate, 2, 48.0, 0.9
surrogate, 2, 45.0, 0.825
surrogate, 3, 48.0, 0.9
surrogate, 3, 47.0, 0.875
surrogate, 3, 45.0, 0.825
surrogate, 4, 47.0, 0.9
surrogate, 4, 45.0, 0.825
surrogate, 5, 46.0, 0.925
surrogate, 5, 45.0, 0.825
surrogate, 6, 46.0, 0.925
surrogate, 6, 45.0, 0.825
surrogate, 7, 46.0, 0.925
surrogate, 7, 45.0, 0.825
surrogate, 7, 45.0, 0.825
surrogate, 8, 48.0, 0.95
surrogate, 8, 46.0, 0.925
surrogate, 8, 45.0, 0.825
surrogate, 8, 45.0, 0.825
emulator, 9, 50.0, 0.95
