method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8200000000000001, 0.925, 0.675, 49.0, 51.0, 46.0
surrogate, 2, 0.8362499999999999, 0.925, 0.725, 48.5, 50.0, 46.0
surrogate, 3, 0.86, 0.925, 0.725, 48.55, 50.0, 46.0
surrogate, 4, 0.865, 0.925, 0.725, 48.3, 50.0, 46.0
surrogate, 5, 0.85375, 0.925, 0.725, 47.9, 50.0, 46.0
surrogate, 6, 0.86625, 0.925, 0.725, 47.9, 50.0, 46.0
surrogate, 7, 0.875, 0.925, 0.75, 47.75, 50.0, 46.0
surrogate, 8, 0.8775000000000001, 0.925, 0.775, 47.7, 50.0, 46.0
surrogate, 9, 0.8812499999999999, 0.925, 0.775, 47.5, 50.0, 46.0
surrogate, 10, 0.8875, 0.95, 0.775, 47.45, 50.0, 46.0
emulator, 11, 0.95, 0.95, 0.95, 51.0, 51.0, 51.0
