method, generation, latency, ar
surrogate, 1, 49.0, 0.925
surrogate, 1, 49.0, 0.925
surrogate, 1, 46.0, 0.85
surrogate, 1, 46.0, 0.85
surrogate, 2, 49.0, 0.925
surrogate, 2, 49.0, 0.925
surrogate, 2, 49.0, 0.925
surrogate, 2, 49.0, 0.925
surrogate, 2, 46.0, 0.85
surrogate, 2, 46.0, 0.85
surrogate, 3, 49.0, 0.925
surrogate, 3, 49.0, 0.925
surrogate, 3, 49.0, 0.925
surrogate, 3, 49.0, 0.925
surrogate, 3, 47.0, 0.875
surrogate, 3, 46.0, 0.85
surrogate, 3, 46.0, 0.85
surrogate, 3, 45.0, 0.8
surrogate, 4, 49.0, 0.925
surrogate, 4, 49.0, 0.925
surrogate, 4, 49.0, 0.925
surrogate, 4, 49.0, 0.925
surrogate, 4, 49.0, 0.925
surrogate, 4, 45.0, 0.875
surrogate, 5, 49.0, 0.95
surrogate, 5, 48.0, 0.925
surrogate, 5, 45.0, 0.875
emulator, 6, 51.0, 0.95
