method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8133333333333335, 0.8666666666666667, 0.7166666666666667, 686.15, 2037.0, 57.0
surrogate, 2, 0.7808333333333335, 0.8666666666666667, 0.65, 292.2, 872.0, 57.0
surrogate, 3, 0.7791666666666667, 0.8666666666666667, 0.6666666666666666, 222.6, 537.0, 46.0
surrogate, 4, 0.7725000000000001, 0.8666666666666667, 0.6666666666666666, 184.25, 537.0, 46.0
surrogate, 5, 0.7758333333333335, 0.8666666666666667, 0.6666666666666666, 186.6, 537.0, 46.0
surrogate, 6, 0.7683333333333333, 0.8666666666666667, 0.6666666666666666, 172.35, 537.0, 46.0
surrogate, 7, 0.7508333333333334, 0.8666666666666667, 0.65, 128.2, 444.0, 45.0
surrogate, 8, 0.7541666666666667, 0.8666666666666667, 0.65, 121.45, 444.0, 45.0
surrogate, 9, 0.7475, 0.8666666666666667, 0.65, 111.6, 444.0, 43.0
surrogate, 10, 0.7591666666666668, 0.8666666666666667, 0.6166666666666667, 116.55, 444.0, 43.0
surrogate, 11, 0.7625, 0.8666666666666667, 0.6333333333333333, 116.15, 444.0, 43.0
surrogate, 12, 0.75, 0.8666666666666667, 0.5666666666666667, 114.1, 444.0, 41.0
surrogate, 13, 0.7608333333333334, 0.8666666666666667, 0.5666666666666667, 119.15, 444.0, 41.0
surrogate, 14, 0.7500000000000001, 0.8833333333333333, 0.55, 99.05, 427.0, 40.0
surrogate, 15, 0.76, 0.8833333333333333, 0.55, 104.4, 427.0, 40.0
surrogate, 16, 0.7458333333333333, 0.9, 0.55, 125.8, 716.0, 40.0
surrogate, 17, 0.7066666666666667, 0.9, 0.55, 95.3, 716.0, 40.0
surrogate, 18, 0.7291666666666666, 0.9, 0.55, 100.6, 716.0, 39.0
surrogate, 19, 0.7308333333333333, 0.9, 0.55, 100.1, 716.0, 39.0
surrogate, 20, 0.7291666666666667, 0.9, 0.55, 96.1, 716.0, 39.0
surrogate, 21, 0.7183333333333335, 0.9, 0.55, 96.0, 716.0, 38.0
surrogate, 22, 0.7116666666666667, 0.9, 0.55, 85.5, 716.0, 38.0
surrogate, 23, 0.7116666666666667, 0.9, 0.55, 85.5, 716.0, 38.0
