method, generation, latency, ar
surrogate, 1, 1480.0, 0.9333333333333333
surrogate, 1, 1347.0, 0.9166666666666666
surrogate, 1, 655.0, 0.9
surrogate, 1, 232.0, 0.85
surrogate, 1, 169.0, 0.8333333333333334
surrogate, 1, 78.0, 0.7833333333333333
surrogate, 2, 1480.0, 0.9333333333333333
surrogate, 2, 1347.0, 0.9166666666666666
surrogate, 2, 655.0, 0.9
surrogate, 2, 483.0, 0.8833333333333333
surrogate, 2, 232.0, 0.85
surrogate, 2, 169.0, 0.8333333333333334
surrogate, 2, 102.0, 0.8
surrogate, 2, 78.0, 0.7833333333333333
surrogate, 2, 56.0, 0.6333333333333333
surrogate, 2, 50.0, 0.6
surrogate, 3, 1480.0, 0.9333333333333333
surrogate, 3, 1347.0, 0.9166666666666666
surrogate, 3, 588.0, 0.9
surrogate, 3, 454.0, 0.8833333333333333
surrogate, 3, 232.0, 0.85
surrogate, 3, 169.0, 0.8333333333333334
surrogate, 3, 102.0, 0.8
surrogate, 3, 74.0, 0.7833333333333333
surrogate, 3, 72.0, 0.7666666666666667
surrogate, 3, 56.0, 0.6333333333333333
surrogate, 3, 50.0, 0.6
surrogate, 4, 1480.0, 0.9333333333333333
surrogate, 4, 1347.0, 0.9166666666666666
surrogate, 4, 290.0, 0.9
surrogate, 4, 232.0, 0.85
surrogate, 4, 169.0, 0.8333333333333334
surrogate, 4, 117.0, 0.8166666666666667
surrogate, 4, 102.0, 0.8
surrogate, 4, 69.0, 0.7833333333333333
surrogate, 4, 55.0, 0.7666666666666667
surrogate, 4, 47.0, 0.6833333333333333
surrogate, 5, 1480.0, 0.9333333333333333
surrogate, 5, 1347.0, 0.9166666666666666
surrogate, 5, 290.0, 0.9
surrogate, 5, 232.0, 0.85
surrogate, 5, 169.0, 0.8333333333333334
surrogate, 5, 117.0, 0.8166666666666667
surrogate, 5, 102.0, 0.8
surrogate, 5, 69.0, 0.7833333333333333
surrogate, 5, 55.0, 0.7666666666666667
surrogate, 5, 47.0, 0.6833333333333333
surrogate, 6, 1480.0, 0.9333333333333333
surrogate, 6, 1347.0, 0.9166666666666666
surrogate, 6, 290.0, 0.9
surrogate, 6, 183.0, 0.85
surrogate, 6, 138.0, 0.8333333333333334
surrogate, 6, 89.0, 0.8166666666666667
surrogate, 6, 85.0, 0.8
surrogate, 6, 69.0, 0.7833333333333333
surrogate, 6, 55.0, 0.7666666666666667
surrogate, 6, 52.0, 0.7166666666666667
surrogate, 6, 49.0, 0.7
surrogate, 6, 47.0, 0.6833333333333333
surrogate, 7, 1480.0, 0.9333333333333333
surrogate, 7, 1199.0, 0.9166666666666666
surrogate, 7, 290.0, 0.9
surrogate, 7, 290.0, 0.9
surrogate, 7, 183.0, 0.85
surrogate, 7, 117.0, 0.8333333333333334
surrogate, 7, 89.0, 0.8166666666666667
surrogate, 7, 83.0, 0.8
surrogate, 7, 69.0, 0.7833333333333333
surrogate, 7, 55.0, 0.7666666666666667
surrogate, 7, 52.0, 0.7166666666666667
surrogate, 7, 52.0, 0.7166666666666667
surrogate, 7, 49.0, 0.7
surrogate, 7, 47.0, 0.6833333333333333
surrogate, 8, 1480.0, 0.9333333333333333
surrogate, 8, 1199.0, 0.9166666666666666
surrogate, 8, 290.0, 0.9
surrogate, 8, 290.0, 0.9
surrogate, 8, 183.0, 0.85
surrogate, 8, 83.0, 0.8333333333333334
surrogate, 8, 69.0, 0.7833333333333333
surrogate, 8, 55.0, 0.7666666666666667
surrogate, 8, 54.0, 0.7333333333333333
surrogate, 8, 52.0, 0.7166666666666667
surrogate, 8, 52.0, 0.7166666666666667
surrogate, 8, 49.0, 0.7
surrogate, 8, 47.0, 0.6833333333333333
surrogate, 9, 1480.0, 0.9333333333333333
surrogate, 9, 1199.0, 0.9166666666666666
surrogate, 9, 290.0, 0.9
surrogate, 9, 290.0, 0.9
surrogate, 9, 183.0, 0.85
surrogate, 9, 83.0, 0.8333333333333334
surrogate, 9, 69.0, 0.7833333333333333
surrogate, 9, 55.0, 0.7666666666666667
surrogate, 9, 54.0, 0.7333333333333333
surrogate, 9, 52.0, 0.7166666666666667
surrogate, 9, 52.0, 0.7166666666666667
surrogate, 9, 49.0, 0.7
surrogate, 9, 47.0, 0.6833333333333333
surrogate, 9, 47.0, 0.6833333333333333
surrogate, 10, 1480.0, 0.9333333333333333
surrogate, 10, 1199.0, 0.9166666666666666
surrogate, 10, 290.0, 0.9
surrogate, 10, 290.0, 0.9
surrogate, 10, 183.0, 0.85
surrogate, 10, 83.0, 0.8333333333333334
surrogate, 10, 77.0, 0.8
surrogate, 10, 57.0, 0.7833333333333333
surrogate, 10, 55.0, 0.7666666666666667
surrogate, 10, 54.0, 0.7333333333333333
surrogate, 10, 52.0, 0.7166666666666667
surrogate, 10, 52.0, 0.7166666666666667
surrogate, 10, 49.0, 0.7
surrogate, 10, 47.0, 0.6833333333333333
surrogate, 10, 47.0, 0.6833333333333333
surrogate, 11, 1480.0, 0.9333333333333333
surrogate, 11, 1059.0, 0.9166666666666666
surrogate, 11, 290.0, 0.9
surrogate, 11, 290.0, 0.9
surrogate, 11, 183.0, 0.85
surrogate, 11, 83.0, 0.8333333333333334
surrogate, 11, 67.0, 0.8
surrogate, 11, 57.0, 0.7833333333333333
surrogate, 11, 55.0, 0.7666666666666667
surrogate, 11, 54.0, 0.7333333333333333
surrogate, 11, 51.0, 0.7166666666666667
surrogate, 11, 49.0, 0.7
surrogate, 11, 47.0, 0.6833333333333333
surrogate, 11, 47.0, 0.6833333333333333
surrogate, 11, 47.0, 0.6833333333333333
surrogate, 12, 1480.0, 0.9333333333333333
surrogate, 12, 1059.0, 0.9166666666666666
surrogate, 12, 290.0, 0.9
surrogate, 12, 290.0, 0.9
surrogate, 12, 183.0, 0.85
surrogate, 12, 83.0, 0.8333333333333334
surrogate, 12, 67.0, 0.8
surrogate, 12, 57.0, 0.7833333333333333
surrogate, 12, 55.0, 0.7666666666666667
surrogate, 12, 54.0, 0.7333333333333333
surrogate, 12, 51.0, 0.7166666666666667
surrogate, 12, 49.0, 0.7
surrogate, 12, 47.0, 0.6833333333333333
surrogate, 12, 47.0, 0.6833333333333333
surrogate, 12, 47.0, 0.6833333333333333
surrogate, 12, 41.0, 0.6166666666666667
surrogate, 13, 1480.0, 0.9333333333333333
surrogate, 13, 1059.0, 0.9166666666666666
surrogate, 13, 290.0, 0.9
surrogate, 13, 290.0, 0.9
surrogate, 13, 173.0, 0.85
surrogate, 13, 83.0, 0.8333333333333334
surrogate, 13, 67.0, 0.8
surrogate, 13, 57.0, 0.7833333333333333
surrogate, 13, 55.0, 0.7666666666666667
surrogate, 13, 54.0, 0.7333333333333333
surrogate, 13, 51.0, 0.7166666666666667
surrogate, 13, 51.0, 0.7166666666666667
surrogate, 13, 51.0, 0.7166666666666667
surrogate, 13, 49.0, 0.7
surrogate, 13, 46.0, 0.6833333333333333
surrogate, 13, 41.0, 0.6166666666666667
surrogate, 14, 1480.0, 0.9333333333333333
surrogate, 14, 1059.0, 0.9166666666666666
surrogate, 14, 290.0, 0.9
surrogate, 14, 290.0, 0.9
surrogate, 14, 173.0, 0.85
surrogate, 14, 83.0, 0.8333333333333334
surrogate, 14, 67.0, 0.8
surrogate, 14, 57.0, 0.7833333333333333
surrogate, 14, 55.0, 0.7666666666666667
surrogate, 14, 54.0, 0.7333333333333333
surrogate, 14, 51.0, 0.7166666666666667
surrogate, 14, 51.0, 0.7166666666666667
surrogate, 14, 51.0, 0.7166666666666667
surrogate, 14, 49.0, 0.7
surrogate, 14, 46.0, 0.6833333333333333
surrogate, 14, 41.0, 0.6166666666666667
surrogate, 15, 1480.0, 0.9333333333333333
surrogate, 15, 1059.0, 0.9166666666666666
surrogate, 15, 290.0, 0.9
surrogate, 15, 290.0, 0.9
surrogate, 15, 120.0, 0.85
surrogate, 15, 83.0, 0.8333333333333334
surrogate, 15, 67.0, 0.8
surrogate, 15, 57.0, 0.7833333333333333
surrogate, 15, 55.0, 0.7666666666666667
surrogate, 15, 54.0, 0.7333333333333333
surrogate, 15, 51.0, 0.7166666666666667
surrogate, 15, 51.0, 0.7166666666666667
surrogate, 15, 51.0, 0.7166666666666667
surrogate, 15, 49.0, 0.7
surrogate, 15, 46.0, 0.6833333333333333
surrogate, 15, 41.0, 0.6166666666666667
surrogate, 16, 1480.0, 0.9333333333333333
surrogate, 16, 1059.0, 0.9166666666666666
surrogate, 16, 290.0, 0.9
surrogate, 16, 290.0, 0.9
surrogate, 16, 120.0, 0.85
surrogate, 16, 83.0, 0.8333333333333334
surrogate, 16, 62.0, 0.8
surrogate, 16, 57.0, 0.7833333333333333
surrogate, 16, 55.0, 0.7666666666666667
surrogate, 16, 54.0, 0.7333333333333333
surrogate, 16, 51.0, 0.7166666666666667
surrogate, 16, 51.0, 0.7166666666666667
surrogate, 16, 51.0, 0.7166666666666667
surrogate, 16, 49.0, 0.7
surrogate, 16, 46.0, 0.6833333333333333
surrogate, 16, 41.0, 0.6166666666666667
surrogate, 17, 1480.0, 0.9333333333333333
surrogate, 17, 1059.0, 0.9166666666666666
surrogate, 17, 290.0, 0.9
surrogate, 17, 290.0, 0.9
surrogate, 17, 120.0, 0.85
surrogate, 17, 83.0, 0.8333333333333334
surrogate, 17, 62.0, 0.8
surrogate, 17, 57.0, 0.7833333333333333
surrogate, 17, 55.0, 0.7666666666666667
surrogate, 17, 54.0, 0.7333333333333333
