method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8675, 0.9166666666666666, 0.7833333333333333, 204.85, 742.0, 41.0
surrogate, 2, 0.8699999999999999, 0.95, 0.7833333333333333, 98.85, 637.0, 41.0
surrogate, 3, 0.8541666666666666, 0.95, 0.7333333333333333, 76.8, 418.0, 40.0
surrogate, 4, 0.8558333333333332, 0.95, 0.7333333333333333, 66.4, 418.0, 40.0
surrogate, 5, 0.8641666666666665, 0.95, 0.7333333333333333, 65.75, 418.0, 40.0
surrogate, 6, 0.8649999999999999, 0.95, 0.7666666666666667, 65.5, 418.0, 39.0
surrogate, 7, 0.8758333333333332, 0.95, 0.7666666666666667, 80.25, 418.0, 39.0
surrogate, 8, 0.8691666666666666, 0.95, 0.7666666666666667, 63.9, 418.0, 39.0
surrogate, 9, 0.8675, 0.95, 0.7, 63.7, 418.0, 39.0
surrogate, 10, 0.8708333333333332, 0.95, 0.7, 63.8, 418.0, 39.0
surrogate, 11, 0.8716666666666667, 0.95, 0.7, 62.75, 418.0, 39.0
surrogate, 12, 0.8716666666666667, 0.95, 0.7, 62.75, 418.0, 39.0
surrogate, 13, 0.8791666666666667, 0.9833333333333333, 0.7, 71.55, 418.0, 39.0
surrogate, 14, 0.8933333333333333, 0.9833333333333333, 0.7833333333333333, 82.2, 418.0, 39.0
emulator, 15, 0.95, 0.95, 0.95, 118.0, 118.0, 118.0
surrogate, 15, 0.8941666666666667, 0.9833333333333333, 0.7833333333333333, 84.85, 418.0, 39.0
surrogate, 16, 0.8966666666666667, 0.9833333333333333, 0.7833333333333333, 85.0, 418.0, 39.0
surrogate, 17, 0.8958333333333333, 0.9833333333333333, 0.7833333333333333, 84.4, 418.0, 39.0
surrogate, 18, 0.8958333333333333, 0.9833333333333333, 0.7833333333333333, 84.3, 418.0, 39.0
surrogate, 19, 0.8975, 0.9833333333333333, 0.7833333333333333, 86.2, 418.0, 39.0
emulator, 20, 0.95, 0.95, 0.95, 116.0, 116.0, 116.0
surrogate, 20, 0.8983333333333334, 0.9833333333333333, 0.7833333333333333, 66.3, 220.0, 39.0
emulator, 21, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667, 128.0, 128.0, 128.0
surrogate, 21, 0.9033333333333333, 0.9833333333333333, 0.7833333333333333, 84.5, 337.0, 39.0
emulator, 22, 0.95, 0.95, 0.95, 78.0, 78.0, 78.0
