method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.09937499999999999, 0.4, 0.0, 2547.55, 50000.0, 41.0
surrogate, 2, 0.14125, 0.4, 0.0125, 48.5, 57.0, 41.0
surrogate, 3, 0.156875, 0.4, 0.0125, 47.0, 57.0, 41.0
surrogate, 4, 0.12687500000000002, 0.4, 0.0125, 45.7, 55.0, 41.0
surrogate, 5, 0.10875000000000004, 0.4, 0.0125, 44.8, 55.0, 41.0
surrogate, 6, 0.09999999999999999, 0.4, 0.0125, 44.2, 55.0, 41.0
surrogate, 7, 0.09999999999999999, 0.4, 0.0125, 44.2, 55.0, 41.0
surrogate, 8, 0.12437500000000004, 0.5, 0.0125, 44.95, 56.0, 41.0
surrogate, 9, 0.16062500000000005, 0.5, 0.0125, 45.9, 56.0, 41.0
surrogate, 10, 0.17250000000000004, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 11, 0.17250000000000004, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 12, 0.17250000000000004, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 13, 0.17250000000000004, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 14, 0.17250000000000004, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 15, 0.16250000000000003, 0.5, 0.0125, 45.9, 56.0, 41.0
surrogate, 16, 0.17625000000000005, 0.5, 0.0125, 46.3, 56.0, 41.0
surrogate, 17, 0.15500000000000005, 0.5625, 0.0125, 45.55, 56.0, 41.0
surrogate, 18, 0.15500000000000005, 0.5625, 0.0125, 45.55, 56.0, 41.0
surrogate, 19, 0.15500000000000005, 0.5625, 0.0125, 45.55, 56.0, 41.0
surrogate, 20, 0.18250000000000005, 0.5625, 0.0125, 46.3, 56.0, 41.0
surrogate, 21, 0.18250000000000005, 0.5625, 0.0125, 46.3, 56.0, 41.0
surrogate, 22, 0.18250000000000005, 0.5625, 0.0125, 46.3, 56.0, 41.0
surrogate, 23, 0.17625000000000005, 0.5625, 0.0125, 46.1, 56.0, 41.0
surrogate, 24, 0.18375000000000002, 0.5625, 0.0125, 46.3, 56.0, 41.0
surrogate, 25, 0.12937500000000005, 0.5625, 0.0125, 44.3, 56.0, 41.0
surrogate, 26, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 27, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 28, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 29, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 30, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 31, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 32, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 33, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 34, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 35, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 36, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 37, 0.14875000000000002, 0.5625, 0.0125, 44.9, 56.0, 41.0
surrogate, 38, 0.12937500000000005, 0.5625, 0.0125, 44.25, 56.0, 41.0
surrogate, 39, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 40, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 41, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 42, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 43, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 44, 0.14875000000000002, 0.5625, 0.0125, 44.8, 56.0, 41.0
surrogate, 45, 0.16437500000000002, 0.5625, 0.0125, 45.3, 56.0, 41.0
