method, generation, latency, ar
surrogate, 1, 53.0, 0.2375
surrogate, 1, 49.0, 0.2
surrogate, 1, 48.0, 0.05
surrogate, 1, 47.0, 0.0125
surrogate, 1, 47.0, 0.0125
surrogate, 2, 53.0, 0.2375
surrogate, 2, 53.0, 0.2375
surrogate, 2, 49.0, 0.2
surrogate, 2, 49.0, 0.2
surrogate, 2, 47.0, 0.1375
surrogate, 3, 51.0, 0.3125
surrogate, 3, 49.0, 0.2
surrogate, 3, 49.0, 0.2
surrogate, 3, 49.0, 0.2
surrogate, 3, 49.0, 0.2
surrogate, 3, 47.0, 0.1375
surrogate, 3, 44.0, 0.05
surrogate, 4, 51.0, 0.3125
surrogate, 4, 51.0, 0.3125
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 49.0, 0.2
surrogate, 4, 47.0, 0.1375
surrogate, 4, 47.0, 0.1375
surrogate, 4, 47.0, 0.1375
surrogate, 4, 44.0, 0.05
surrogate, 4, 44.0, 0.05
surrogate, 5, 51.0, 0.3125
surrogate, 5, 51.0, 0.3125
surrogate, 5, 51.0, 0.3125
surrogate, 5, 51.0, 0.3125
surrogate, 5, 48.0, 0.2
surrogate, 5, 47.0, 0.1375
surrogate, 5, 47.0, 0.1375
surrogate, 5, 47.0, 0.1375
surrogate, 5, 47.0, 0.1375
surrogate, 5, 47.0, 0.1375
surrogate, 5, 44.0, 0.05
surrogate, 5, 44.0, 0.05
surrogate, 5, 44.0, 0.05
surrogate, 5, 44.0, 0.05
surrogate, 6, 54.0, 0.4375
surrogate, 6, 51.0, 0.3125
surrogate, 6, 51.0, 0.3125
surrogate, 6, 51.0, 0.3125
surrogate, 6, 51.0, 0.3125
surrogate, 6, 51.0, 0.3125
surrogate, 6, 48.0, 0.2
surrogate, 6, 48.0, 0.2
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
surrogate, 6, 47.0, 0.1375
