method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8162499999999999, 0.9125, 0.725, 59.8, 62.0, 57.0
surrogate, 2, 0.8256249999999999, 0.9125, 0.65, 58.9, 60.0, 56.0
surrogate, 3, 0.815625, 0.9125, 0.65, 57.95, 60.0, 54.0
surrogate, 4, 0.825, 0.9125, 0.6625, 57.6, 60.0, 54.0
surrogate, 5, 0.8393750000000001, 0.9125, 0.6875, 57.65, 60.0, 54.0
surrogate, 6, 0.8256249999999998, 0.9125, 0.6625, 57.05, 60.0, 54.0
surrogate, 7, 0.8393750000000001, 0.9125, 0.6625, 56.85, 59.0, 54.0
surrogate, 8, 0.8325000000000001, 0.9125, 0.6625, 56.6, 59.0, 54.0
surrogate, 9, 0.8400000000000001, 0.9125, 0.65, 56.85, 60.0, 54.0
surrogate, 10, 0.828125, 0.9375, 0.65, 56.4, 59.0, 54.0
surrogate, 11, 0.8287500000000001, 0.9375, 0.65, 56.35, 59.0, 54.0
surrogate, 12, 0.83125, 0.9375, 0.65, 56.45, 59.0, 54.0
surrogate, 13, 0.8481249999999999, 0.9375, 0.6625, 56.65, 59.0, 54.0
surrogate, 14, 0.8668750000000001, 0.9375, 0.6875, 56.75, 59.0, 54.0
surrogate, 15, 0.865625, 0.9375, 0.6875, 56.5, 59.0, 54.0
surrogate, 16, 0.8706249999999999, 0.9375, 0.6875, 56.7, 59.0, 54.0
surrogate, 17, 0.8718750000000002, 0.9375, 0.6875, 56.45, 59.0, 54.0
surrogate, 18, 0.874375, 0.9375, 0.6875, 56.3, 59.0, 54.0
surrogate, 19, 0.8881249999999999, 0.9375, 0.725, 56.25, 59.0, 54.0
surrogate, 20, 0.878125, 0.9375, 0.725, 55.95, 59.0, 54.0
surrogate, 21, 0.8787499999999999, 0.9375, 0.725, 55.85, 59.0, 54.0
surrogate, 22, 0.8862499999999999, 0.9375, 0.725, 56.15, 59.0, 54.0
surrogate, 23, 0.88375, 0.95, 0.725, 55.9, 59.0, 54.0
emulator, 24, 0.95, 0.95, 0.95, 61.0, 61.0, 61.0
