method, generation, latency, ar
surrogate, 1, 60.0, 0.875
surrogate, 1, 58.0, 0.85
surrogate, 2, 60.0, 0.875
surrogate, 2, 58.0, 0.85
surrogate, 2, 57.0, 0.7875
surrogate, 3, 62.0, 0.9
surrogate, 3, 59.0, 0.875
surrogate, 3, 58.0, 0.85
surrogate, 3, 58.0, 0.85
surrogate, 3, 57.0, 0.7875
surrogate, 4, 62.0, 0.9
surrogate, 4, 60.0, 0.8875
surrogate, 4, 59.0, 0.875
surrogate, 4, 58.0, 0.85
surrogate, 4, 58.0, 0.85
surrogate, 4, 56.0, 0.8
surrogate, 4, 56.0, 0.8
surrogate, 5, 62.0, 0.9
surrogate, 5, 60.0, 0.8875
surrogate, 5, 59.0, 0.875
surrogate, 5, 58.0, 0.85
surrogate, 5, 58.0, 0.85
surrogate, 5, 58.0, 0.85
surrogate, 5, 56.0, 0.8
surrogate, 5, 56.0, 0.8
surrogate, 6, 62.0, 0.9
surrogate, 6, 60.0, 0.8875
surrogate, 6, 59.0, 0.875
surrogate, 6, 59.0, 0.875
surrogate, 6, 58.0, 0.85
surrogate, 6, 58.0, 0.85
surrogate, 6, 58.0, 0.85
surrogate, 6, 56.0, 0.8
surrogate, 6, 56.0, 0.8
surrogate, 7, 61.0, 0.9375
surrogate, 7, 59.0, 0.8875
surrogate, 7, 58.0, 0.85
surrogate, 7, 58.0, 0.85
surrogate, 7, 58.0, 0.85
surrogate, 7, 57.0, 0.825
surrogate, 7, 55.0, 0.8
surrogate, 8, 61.0, 0.9375
surrogate, 8, 59.0, 0.8875
surrogate, 8, 58.0, 0.85
surrogate, 8, 58.0, 0.85
surrogate, 8, 58.0, 0.85
surrogate, 8, 57.0, 0.8375
surrogate, 8, 55.0, 0.8
surrogate, 9, 61.0, 0.9375
surrogate, 9, 59.0, 0.8875
surrogate, 9, 58.0, 0.85
surrogate, 9, 58.0, 0.85
surrogate, 9, 58.0, 0.85
surrogate, 9, 57.0, 0.8375
surrogate, 9, 57.0, 0.8375
surrogate, 9, 55.0, 0.8
surrogate, 10, 61.0, 0.9375
surrogate, 10, 57.0, 0.8875
surrogate, 10, 55.0, 0.8375
surrogate, 11, 61.0, 0.9375
surrogate, 11, 59.0, 0.9
surrogate, 11, 57.0, 0.8875
surrogate, 11, 56.0, 0.85
surrogate, 11, 55.0, 0.8375
surrogate, 12, 61.0, 0.9375
surrogate, 12, 59.0, 0.9125
surrogate, 12, 57.0, 0.8875
surrogate, 12, 56.0, 0.85
surrogate, 12, 55.0, 0.8375
surrogate, 13, 61.0, 0.9375
surrogate, 13, 59.0, 0.925
surrogate, 13, 57.0, 0.8875
surrogate, 13, 56.0, 0.85
surrogate, 13, 55.0, 0.8375
surrogate, 14, 61.0, 0.9375
surrogate, 14, 59.0, 0.925
surrogate, 14, 57.0, 0.8875
surrogate, 14, 56.0, 0.85
surrogate, 14, 55.0, 0.8375
surrogate, 15, 61.0, 0.9375
surrogate, 15, 59.0, 0.925
surrogate, 15, 57.0, 0.8875
surrogate, 15, 56.0, 0.85
surrogate, 15, 55.0, 0.8375
surrogate, 15, 55.0, 0.8375
surrogate, 16, 61.0, 0.9375
surrogate, 16, 59.0, 0.925
surrogate, 16, 57.0, 0.8875
surrogate, 16, 56.0, 0.85
surrogate, 16, 55.0, 0.8375
surrogate, 16, 55.0, 0.8375
surrogate, 17, 61.0, 0.9375
surrogate, 17, 59.0, 0.925
surrogate, 17, 57.0, 0.8875
surrogate, 17, 57.0, 0.8875
surrogate, 17, 56.0, 0.85
surrogate, 17, 56.0, 0.85
surrogate, 17, 55.0, 0.8375
surrogate, 17, 55.0, 0.8375
surrogate, 18, 59.0, 0.95
surrogate, 18, 57.0, 0.8875
surrogate, 18, 57.0, 0.8875
surrogate, 18, 56.0, 0.85
surrogate, 18, 56.0, 0.85
surrogate, 18, 55.0, 0.8375
surrogate, 18, 55.0, 0.8375
emulator, 19, 65.0, 0.95
