method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.836875, 0.9375, 0.75, 61.05, 64.0, 56.0
surrogate, 2, 0.8775000000000001, 0.9375, 0.7875, 60.4, 64.0, 56.0
surrogate, 3, 0.866875, 0.9375, 0.725, 59.2, 64.0, 48.0
surrogate, 4, 0.880625, 0.9375, 0.7875, 58.4, 64.0, 48.0
surrogate, 5, 0.8862499999999999, 0.9375, 0.7875, 58.35, 62.0, 48.0
surrogate, 6, 0.88375, 0.9375, 0.7875, 58.2, 64.0, 48.0
surrogate, 7, 0.8881249999999999, 0.9375, 0.7875, 58.4, 64.0, 48.0
surrogate, 8, 0.8862500000000001, 0.9375, 0.7625, 57.35, 64.0, 48.0
surrogate, 9, 0.89125, 0.9375, 0.7625, 56.65, 64.0, 48.0
surrogate, 10, 0.8949999999999999, 0.9375, 0.825, 56.85, 64.0, 48.0
surrogate, 11, 0.8887500000000002, 0.9375, 0.75, 55.9, 64.0, 48.0
surrogate, 12, 0.8943749999999999, 0.9375, 0.825, 55.95, 64.0, 48.0
surrogate, 13, 0.8875, 0.9375, 0.825, 54.55, 64.0, 48.0
surrogate, 14, 0.9012499999999999, 0.9375, 0.8375, 55.9, 64.0, 48.0
surrogate, 15, 0.9012499999999999, 0.9375, 0.8375, 55.9, 64.0, 48.0
surrogate, 16, 0.903125, 0.9375, 0.8375, 55.95, 64.0, 48.0
surrogate, 17, 0.9106250000000001, 0.9375, 0.8375, 55.9, 64.0, 32.0
surrogate, 18, 0.9049999999999999, 0.9375, 0.7875, 54.75, 64.0, 32.0
surrogate, 19, 0.9012500000000001, 0.9375, 0.7875, 54.5, 64.0, 32.0
surrogate, 20, 0.8981249999999997, 0.9375, 0.7875, 53.45, 64.0, 32.0
surrogate, 21, 0.8881249999999999, 0.9375, 0.7625, 52.35, 64.0, 32.0
surrogate, 22, 0.8856249999999999, 0.9375, 0.7375, 52.3, 64.0, 32.0
surrogate, 23, 0.8868750000000001, 0.9375, 0.7375, 52.55, 64.0, 32.0
surrogate, 24, 0.8868750000000001, 0.9375, 0.7375, 52.55, 64.0, 32.0
surrogate, 25, 0.8868750000000001, 0.9375, 0.7375, 52.55, 64.0, 32.0
surrogate, 26, 0.8868750000000001, 0.9375, 0.7375, 52.55, 64.0, 32.0
surrogate, 27, 0.89625, 0.9375, 0.7625, 53.25, 64.0, 32.0
surrogate, 28, 0.8943750000000001, 0.9375, 0.7625, 52.4, 62.0, 32.0
surrogate, 29, 0.8943750000000001, 0.9375, 0.7625, 52.4, 62.0, 32.0
surrogate, 30, 0.8868750000000001, 0.9375, 0.7625, 51.55, 62.0, 32.0
surrogate, 31, 0.8843750000000001, 0.95, 0.7625, 50.25, 62.0, 32.0
emulator, 32, 0.95, 0.95, 0.95, 67.0, 67.0, 67.0
