method, generation, latency, ar
surrogate, 1, 60.0, 0.9375
surrogate, 1, 56.0, 0.7875
surrogate, 2, 60.0, 0.9375
surrogate, 2, 56.0, 0.8875
surrogate, 3, 60.0, 0.9375
surrogate, 3, 56.0, 0.8875
surrogate, 3, 48.0, 0.8375
surrogate, 4, 60.0, 0.9375
surrogate, 4, 52.0, 0.925
surrogate, 4, 48.0, 0.8375
surrogate, 5, 60.0, 0.9375
surrogate, 5, 52.0, 0.925
surrogate, 5, 48.0, 0.8375
surrogate, 6, 60.0, 0.9375
surrogate, 6, 52.0, 0.925
surrogate, 6, 48.0, 0.8375
surrogate, 7, 60.0, 0.9375
surrogate, 7, 52.0, 0.925
surrogate, 7, 48.0, 0.8375
surrogate, 8, 60.0, 0.9375
surrogate, 8, 52.0, 0.925
surrogate, 8, 48.0, 0.8875
surrogate, 9, 60.0, 0.9375
surrogate, 9, 52.0, 0.925
surrogate, 9, 48.0, 0.8875
surrogate, 10, 60.0, 0.9375
surrogate, 10, 52.0, 0.925
surrogate, 10, 48.0, 0.8875
surrogate, 11, 60.0, 0.9375
surrogate, 11, 52.0, 0.925
surrogate, 11, 48.0, 0.8875
surrogate, 12, 60.0, 0.9375
surrogate, 12, 52.0, 0.925
surrogate, 12, 48.0, 0.8875
surrogate, 13, 60.0, 0.9375
surrogate, 13, 52.0, 0.925
surrogate, 13, 48.0, 0.8875
surrogate, 14, 60.0, 0.9375
surrogate, 14, 52.0, 0.925
surrogate, 14, 48.0, 0.8875
surrogate, 15, 60.0, 0.9375
surrogate, 15, 52.0, 0.925
surrogate, 15, 48.0, 0.8875
surrogate, 16, 60.0, 0.9375
surrogate, 16, 52.0, 0.925
surrogate, 16, 48.0, 0.8875
surrogate, 17, 60.0, 0.9375
surrogate, 17, 60.0, 0.9375
surrogate, 17, 52.0, 0.925
surrogate, 17, 48.0, 0.9
surrogate, 17, 32.0, 0.8375
surrogate, 18, 60.0, 0.9375
surrogate, 18, 60.0, 0.9375
surrogate, 18, 52.0, 0.925
surrogate, 18, 48.0, 0.9
surrogate, 18, 32.0, 0.8375
surrogate, 19, 60.0, 0.9375
surrogate, 19, 60.0, 0.9375
surrogate, 19, 52.0, 0.925
surrogate, 19, 48.0, 0.9
surrogate, 19, 32.0, 0.8375
surrogate, 20, 60.0, 0.9375
surrogate, 20, 60.0, 0.9375
surrogate, 20, 52.0, 0.925
surrogate, 20, 48.0, 0.9
surrogate, 20, 45.0, 0.875
surrogate, 20, 32.0, 0.8375
surrogate, 21, 60.0, 0.9375
surrogate, 21, 60.0, 0.9375
surrogate, 21, 52.0, 0.925
surrogate, 21, 48.0, 0.9
surrogate, 21, 45.0, 0.875
surrogate, 21, 32.0, 0.8375
surrogate, 22, 60.0, 0.9375
surrogate, 22, 60.0, 0.9375
surrogate, 22, 52.0, 0.925
surrogate, 22, 48.0, 0.9
surrogate, 22, 45.0, 0.875
surrogate, 22, 32.0, 0.8375
surrogate, 23, 60.0, 0.9375
surrogate, 23, 60.0, 0.9375
surrogate, 23, 52.0, 0.925
surrogate, 23, 48.0, 0.9
surrogate, 23, 45.0, 0.875
surrogate, 23, 32.0, 0.8375
surrogate, 24, 60.0, 0.9375
surrogate, 24, 60.0, 0.9375
surrogate, 24, 52.0, 0.925
surrogate, 24, 48.0, 0.9
surrogate, 24, 45.0, 0.875
surrogate, 24, 32.0, 0.8375
surrogate, 25, 60.0, 0.9375
surrogate, 25, 60.0, 0.9375
surrogate, 25, 52.0, 0.925
surrogate, 25, 48.0, 0.9
surrogate, 25, 45.0, 0.875
surrogate, 25, 32.0, 0.8375
surrogate, 26, 60.0, 0.9375
surrogate, 26, 60.0, 0.9375
surrogate, 26, 52.0, 0.925
surrogate, 26, 48.0, 0.9
surrogate, 26, 45.0, 0.875
surrogate, 26, 32.0, 0.8375
surrogate, 27, 60.0, 0.9375
surrogate, 27, 60.0, 0.9375
surrogate, 27, 52.0, 0.925
surrogate, 27, 48.0, 0.9
surrogate, 27, 45.0, 0.875
surrogate, 27, 32.0, 0.8375
surrogate, 28, 60.0, 0.9375
surrogate, 28, 60.0, 0.9375
surrogate, 28, 52.0, 0.925
surrogate, 28, 48.0, 0.9
surrogate, 28, 48.0, 0.9
surrogate, 28, 45.0, 0.875
surrogate, 28, 32.0, 0.8375
surrogate, 29, 60.0, 0.9375
surrogate, 29, 60.0, 0.9375
surrogate, 29, 52.0, 0.925
surrogate, 29, 48.0, 0.9
surrogate, 29, 48.0, 0.9
surrogate, 29, 45.0, 0.875
surrogate, 29, 32.0, 0.8375
surrogate, 30, 60.0, 0.9375
surrogate, 30, 60.0, 0.9375
surrogate, 30, 52.0, 0.925
surrogate, 30, 48.0, 0.9
surrogate, 30, 48.0, 0.9
surrogate, 30, 45.0, 0.875
surrogate, 30, 32.0, 0.8375
surrogate, 31, 48.0, 0.95
surrogate, 31, 45.0, 0.875
surrogate, 31, 32.0, 0.8375
emulator, 32, 67.0, 0.95
