bin,MAE,MAPE,R2,RMSE,count
0-40,14.471113874879071,0.9668067872105423,-615.4037212748854,123.85561310866201,6202
40-80,255.8510126105263,4.579554340718528,-3865.9020866133023,711.0979438217787,190
80-120,272.22389343125,2.700186309553625,-3420.6937384219023,682.485655745773,120
120-160,381.86818906159425,2.7591215143706576,-7376.071947656587,947.3168706417334,69
160-200,326.48975313888894,1.8236111922300386,-4428.0884550332385,772.6015272607907,45
200-240,453.7636538308824,2.0616626850150563,-7320.520394399475,988.61470087684,34
240-280,534.7255541015625,2.0552255323591164,-10917.480055157055,1038.7049443768014,32
280-320,349.84733440476185,1.1575882299983047,-4910.911092001281,724.1024857828677,42
320-360,462.6713950833334,1.3706853190374626,-8179.64410178159,930.0212868498816,27
360-400,778.2612059523809,2.0797319220880075,-11873.782916546132,1323.0055518270606,21
400-440,562.0200279758064,1.3411734826167503,-8305.453402052844,968.823701003475,31
440-480,827.825309425,1.7995113257904278,-14490.932998730948,1298.3000245208978,30
480-520,476.6610457045454,0.9544574232598861,-3508.8659912866174,735.0959876378157,22
520-560,739.0332174722222,1.3768491044514573,-10759.628852120875,1162.158526763207,27
560-600,843.9016652916667,1.4431193575108738,-22685.43098361596,1322.806105236756,12
600-640,311.5380681666666,0.5059947409866797,-785.4294748190241,352.03330222734417,12
640-680,669.4793733499998,1.0169563760496427,-10650.91564049632,1228.0072400656952,10
680-720,461.89923158333335,0.6648122853103845,-4681.528672116074,671.2134904086801,9
720-760,274.4293006388889,0.36729615982530217,-908.7260447064034,333.09344677768394,9
760-800,517.1488389166667,0.672104094094718,-3819.8949290225323,920.0587834477833,9
800-840,794.60464125,0.9787982786303338,-9734.524510043844,1107.3133558908828,11
840-880,642.00918184375,0.7465149033715346,-3547.931055288572,842.5545722903607,8
880-920,752.2760214285715,0.8355702141301806,-7802.033566766324,1000.9933327853379,14
920-960,990.66145228125,1.0547113287703553,-11103.495248081927,1284.580546500563,8
960-1000,1162.6333319062499,1.1877695566534832,-18926.059586177125,1563.0450805501098,8
1000-1040,1302.58880325,1.2828597816832779,-15809.524671704798,1592.7863848558686,4
1040-1080,1167.2538221250002,1.097563997789412,-62605.98252243193,1390.6459738271005,4
1080-1120,1164.0310033333335,1.0585605833247327,-36504.86667359025,1419.1521025060886,6
1120-1160,821.28276855,0.7187183800297572,-9972.070811784452,1139.538932485901,10
1160-1200,1312.7647134285712,1.108463269428913,-22240.189179922094,1667.4755177631284,7
1200-1240,609.6118582916669,0.49614743259982236,-3997.0672408000037,922.5274876019578,6
1240-1280,1028.84604035,0.8167618552919592,-12455.953059694928,1239.7605996400116,10
1280-1320,1617.4504337499998,1.2618312304926453,NaN,1617.4504337499998,1
1320-1360,1156.2116432083333,0.8601369692188602,-15708.331210609498,1450.1979481192361,6
1360-1400,617.1771473750001,0.44851397469967685,-3787.798227077359,749.7565862541645,10
1400-1440,916.9437008611112,0.6498820630512276,-33535.15816299896,1251.3758788244297,9
1440-1480,680.0597227500001,0.4655497368748168,-6420.519667413545,892.2558986251112,10
1480-1520,778.38962946875,0.5205450541237873,-6041.677852007128,917.5170993177608,8
1520-1560,777.4676023333335,0.5041149778625275,-16068.195507554909,1095.6851922514923,6
1560-1600,962.0392156153847,0.6086123568181302,-10815.764472771285,1167.6515714623556,13
1600-1640,540.2215679999999,0.33276671458824314,-16348.304230621836,878.5638376005603,5
1640-1680,533.8820047500001,0.3221212768742691,-9027.994089005013,628.7946364111501,5
1680-1720,523.3707494583333,0.3088337969906416,-6944.03066033544,828.4371944504664,12
1720-1760,1106.882483375,0.636335075723293,-32137.297305761433,1238.7913752662132,4
1760-1800,809.4259861785714,0.45464392956700284,-9901.710257795914,1008.8145620821015,7
1800-1840,1048.752760857143,0.5783121060723986,-14470.92997261211,1185.2745518794718,7
1840-1880,521.6568640714286,0.2812966224818792,-12360.605405785329,687.5851865392798,7
1880-1920,1347.1825207187499,0.7075929274320607,-12531.45258755436,1455.9211343332968,8
1920-1960,1067.9766511136365,0.5514291136177287,-10421.206535572232,1218.5224083141854,11
1960-2000,989.38834835,0.4981944012670029,-109279.7217263322,1157.6689732844648,5
2000-2040,874.7437977000002,0.43167384306053813,-12078.361848653369,1027.007968299323,10
2040-2080,1264.012827972222,0.612799017625521,-72865.4113730757,1454.9487788309968,9
2080-2120,1039.2687484166665,0.492018179239789,-13364.273662878599,1239.0812676212104,6
2120-2160,1142.0444940625,0.533270803725737,-12213.003462480547,1173.7682442581865,8
2160-2200,1110.9029078437502,0.5109521873736825,-16122.12950856766,1243.2123267761465,8
2200-2240,1357.4035293392858,0.6115138194878907,-25838.670746674892,1488.3145532612689,14
2240-2280,1064.3323023125,0.47014338392480426,-9436.49463167236,1202.824678000308,16
2280-2320,1430.1642058571429,0.6216938686402107,-13930.830652341278,1536.2702826947086,14
2320-2360,1211.8390924500002,0.518590687723532,-10386.063579909234,1407.6967321158747,20
2360-2400,986.6055284124999,0.41474377894183084,-12430.505575292274,1100.0653835591554,20
2400-2440,1095.4539899895833,0.4522043696472484,-7372.858507727101,1167.2057056356518,24
2440-2480,875.303408702381,0.35570327596321194,-7184.09703119925,994.7822699443799,21
2480-2520,909.2772072386364,0.36357306203200684,-7517.63434668159,1031.0601821476089,22
2520-2560,904.2162804907407,0.3559464970010306,-8356.895455136982,1014.9795922882661,27
2560-2600,782.2439257962963,0.3030692494878703,-4243.6221743236565,848.8351182809264,27
2600-2640,772.7429124411765,0.29559832746269765,-5455.1369257766055,850.417561514516,17
2640-2680,576.094422826087,0.21650074606019043,-4077.9117999027067,663.1672560283317,23
2680-2720,727.1244644886365,0.2692325164300535,-5783.936390674323,864.3784969626635,22
2720-2760,641.9649813088237,0.23412108940589713,-5124.31338025511,779.0625157232967,17
2760-2800,824.8625678552631,0.296512318057156,-7935.498758498813,945.1443452419602,19
2800-2840,953.1356975769231,0.3381962939082706,-6151.506761415257,1075.7318236355886,13
2840-2880,828.2016254264704,0.2898426379868093,-9463.41449480705,980.5538619554608,17
2880-2920,882.9565673088234,0.304993975754171,-9819.068763721534,1107.0393137744738,17
2920-2960,613.3435525000002,0.20853541951502672,-2995.8356702490214,657.99355353961,6
2960-3000,545.9111852115385,0.18353590906751005,-3995.797035903331,681.3936009811817,13
3000-3040,732.560647,0.2425971440325202,-4530.054135159608,862.913006821862,18
3040-3080,618.8587254523812,0.20240659945542303,-5050.212081772215,878.0024225935547,21
3080-3120,605.4306863999998,0.19565893555810848,-4942.386388995473,687.9869073246888,15
3120-3160,559.9069834722221,0.17868372218591694,-4733.867812784319,654.6701364076487,9
