method, generation, power, ar
surrogate, 1, 201.0, 0.9565217391304348
surrogate, 1, 193.0, 0.9347826086956522
surrogate, 1, 192.0, 0.8478260869565217
surrogate, 1, 167.0, 0.782608695652174
surrogate, 2, 201.0, 0.9565217391304348
surrogate, 2, 153.0, 0.9347826086956522
surrogate, 2, 113.0, 0.9130434782608695
surrogate, 2, 88.0, 0.8913043478260869
surrogate, 3, 201.0, 0.9565217391304348
surrogate, 3, 201.0, 0.9565217391304348
surrogate, 3, 153.0, 0.9347826086956522
surrogate, 3, 113.0, 0.9130434782608695
surrogate, 3, 88.0, 0.8913043478260869
surrogate, 3, 88.0, 0.8913043478260869
surrogate, 4, 201.0, 0.9565217391304348
surrogate, 4, 201.0, 0.9565217391304348
surrogate, 4, 153.0, 0.9347826086956522
surrogate, 4, 113.0, 0.9130434782608695
surrogate, 4, 88.0, 0.8913043478260869
surrogate, 4, 88.0, 0.8913043478260869
surrogate, 5, 81.0, 0.9565217391304348
surrogate, 6, 201.0, 0.9782608695652174
surrogate, 6, 81.0, 0.9565217391304348
surrogate, 7, 201.0, 0.9782608695652174
surrogate, 7, 81.0, 0.9565217391304348
surrogate, 8, 201.0, 0.9782608695652174
surrogate, 8, 81.0, 0.9565217391304348
surrogate, 8, 63.0, 0.7608695652173914
surrogate, 9, 201.0, 0.9782608695652174
surrogate, 9, 81.0, 0.9565217391304348
surrogate, 9, 63.0, 0.7608695652173914
surrogate, 10, 210.0, 1.0
surrogate, 10, 201.0, 0.9782608695652174
surrogate, 10, 201.0, 0.9782608695652174
surrogate, 10, 81.0, 0.9565217391304348
surrogate, 10, 64.0, 0.8260869565217391
surrogate, 10, 63.0, 0.7608695652173914
emulator, 10.1, 216.0, 1.0
