method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8481818181818181, 0.9772727272727273, 0.7272727272727273, 241.49, 249.0, 183.0
surrogate, 2, 0.8788636363636363, 0.9772727272727273, 0.7272727272727273, 236.98, 249.0, 160.0
surrogate, 3, 0.8931818181818184, 0.9772727272727273, 0.7272727272727273, 232.17, 249.0, 71.0
surrogate, 4, 0.9011363636363636, 0.9772727272727273, 0.75, 227.18, 249.0, 71.0
surrogate, 5, 0.9009090909090908, 0.9772727272727273, 0.7045454545454546, 220.13, 249.0, 71.0
surrogate, 6, 0.8990909090909092, 0.9772727272727273, 0.6818181818181818, 210.96, 249.0, 64.0
surrogate, 7, 0.8929545454545456, 0.9772727272727273, 0.5909090909090909, 192.99, 249.0, 55.0
surrogate, 8, 0.89, 0.9772727272727273, 0.5909090909090909, 181.62, 249.0, 55.0
surrogate, 9, 0.890909090909091, 0.9772727272727273, 0.5909090909090909, 174.93, 249.0, 55.0
surrogate, 10, 0.8884090909090909, 0.9772727272727273, 0.5909090909090909, 165.11, 249.0, 55.0
surrogate, 11, 0.8981818181818181, 0.9772727272727273, 0.5909090909090909, 166.73, 249.0, 55.0
surrogate, 12, 0.8927272727272728, 1.0, 0.5909090909090909, 153.29, 249.0, 55.0
emulator, 12.1, 1.0, 1.0, 1.0, 114.0, 114.0, 114.0
