experiment,sfc,requests,average_latency,duration
SFCs:4-Topology:0.5,sfc0-one,8,32.521133625,2.0
SFCs:4-Topology:0.5,sfc1-one,7,86.09501942857143,2.0
SFCs:4-Topology:0.5,sfc2-one,4,173.46446550000002,2.0
SFCs:4-Topology:0.5,sfc3-one,6,112.29912183333334,2.0
SFCs:4-Topology:0.5,sfc0-one,15,795.3600367333333,2.0
SFCs:4-Topology:0.5,sfc1-one,11,1006.7352604545454,2.0
SFCs:4-Topology:0.5,sfc2-one,8,1182.4423175,2.0
SFCs:4-Topology:0.5,sfc3-one,11,1028.4028816363636,2.0
SFCs:4-Topology:0.5,sfc0-one,16,1700.4641544375002,2.0
SFCs:4-Topology:0.5,sfc1-one,5,2346.7790328,2.0
SFCs:4-Topology:0.5,sfc2-one,7,2485.5595548571428,2.0
SFCs:4-Topology:0.5,sfc3-one,7,2290.292092,2.0
SFCs:4-Topology:0.5,sfc0-one,14,2410.3872640714285,2.0
SFCs:4-Topology:0.5,sfc1-one,7,3211.943022285715,2.0
SFCs:4-Topology:0.5,sfc2-one,6,3764.922264666667,2.0
SFCs:4-Topology:0.5,sfc3-one,5,3014.9699521999996,2.0
SFCs:4-Topology:0.5,sfc0-one,11,3120.118102909091,2.0
SFCs:4-Topology:0.5,sfc1-one,2,2886.0132240000003,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4348.936374,2.0
SFCs:4-Topology:0.5,sfc3-one,2,3112.4059660000003,2.0
SFCs:4-Topology:0.5,sfc0-one,15,3251.679125533334,2.0
SFCs:4-Topology:0.5,sfc1-one,2,3408.041115,2.0
SFCs:4-Topology:0.5,sfc3-one,1,2756.189369,2.0
SFCs:4-Topology:0.5,sfc0-one,8,3028.490988125,2.0
SFCs:4-Topology:0.5,sfc1-one,2,4432.089969,2.0
SFCs:4-Topology:0.5,sfc2-one,1,3411.86541,2.0
SFCs:4-Topology:0.5,sfc3-one,2,3582.915219,2.0
SFCs:4-Topology:0.5,sfc0-one,8,2803.0073532499996,2.0
SFCs:4-Topology:0.5,sfc1-one,1,6826.612815,2.0
SFCs:4-Topology:0.5,sfc3-one,4,3037.4672875,2.0
SFCs:4-Topology:0.5,sfc0-one,10,3844.1520512,2.0
SFCs:4-Topology:0.5,sfc1-one,7,5139.681651285714,2.0
SFCs:4-Topology:0.5,sfc2-one,3,7407.761350666668,2.0
SFCs:4-Topology:0.5,sfc3-one,4,4395.8379125,2.0
SFCs:4-Topology:0.5,sfc0-one,7,3690.7037778571425,2.0
SFCs:4-Topology:0.5,sfc1-one,9,7496.719313666666,2.0
SFCs:4-Topology:0.5,sfc2-one,4,6813.8433565000005,2.0
SFCs:4-Topology:0.5,sfc3-one,6,6465.908486666666,2.0
SFCs:4-Topology:0.5,sfc0-one,6,5146.010277833334,2.0
SFCs:4-Topology:0.5,sfc1-one,6,4887.687107499999,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4205.809437,2.0
SFCs:4-Topology:0.5,sfc3-one,8,4790.845064000001,2.0
SFCs:4-Topology:0.5,sfc0-one,14,6774.452846071427,2.0
SFCs:4-Topology:0.5,sfc1-one,11,5885.537506636364,2.0
SFCs:4-Topology:0.5,sfc2-one,5,6893.902438200001,2.0
SFCs:4-Topology:0.5,sfc3-one,4,7152.3748427499995,2.0
SFCs:4-Topology:0.5,sfc0-one,9,6849.027356666667,2.0
SFCs:4-Topology:0.5,sfc1-one,8,6721.4313117500005,2.0
SFCs:4-Topology:0.5,sfc2-one,2,7636.098814,2.0
SFCs:4-Topology:0.5,sfc3-one,11,5439.245576727273,2.0
SFCs:4-Topology:0.5,sfc0-one,13,6727.317957846155,2.0
SFCs:4-Topology:0.5,sfc1-one,6,5848.6273673333335,2.0
SFCs:4-Topology:0.5,sfc2-one,4,8727.94195925,2.0
SFCs:4-Topology:0.5,sfc3-one,7,5442.755784428571,2.0
SFCs:4-Topology:0.5,sfc0-one,10,3186.4652954,2.0
SFCs:4-Topology:0.5,sfc1-one,7,7154.719074857144,2.0
SFCs:4-Topology:0.5,sfc2-one,5,5113.2149524,2.0
SFCs:4-Topology:0.5,sfc3-one,8,8603.765042375,2.0
SFCs:4-Topology:0.5,sfc0-one,13,5338.136469846154,2.0
SFCs:4-Topology:0.5,sfc1-one,9,7906.468154444443,2.0
SFCs:4-Topology:0.5,sfc2-one,9,7767.868653444444,2.0
SFCs:4-Topology:0.5,sfc3-one,3,4273.692185333333,2.0
SFCs:4-Topology:0.5,sfc0-one,3,5097.652414333333,2.0
SFCs:4-Topology:0.5,sfc1-one,10,6536.1540834,2.0
SFCs:4-Topology:0.5,sfc2-one,5,7548.337142999999,2.0
SFCs:4-Topology:0.5,sfc3-one,8,4511.116753625,2.0
SFCs:4-Topology:0.5,sfc0-one,14,6034.1367844999995,2.0
SFCs:4-Topology:0.5,sfc1-one,11,5990.512005181819,2.0
SFCs:4-Topology:0.5,sfc2-one,6,5242.430304,2.0
SFCs:4-Topology:0.5,sfc3-one,8,8181.971356874999,2.0
SFCs:4-Topology:0.5,sfc0-one,9,4158.838624888889,2.0
SFCs:4-Topology:0.5,sfc1-one,6,3833.8763505,2.0
SFCs:4-Topology:0.5,sfc2-one,7,9530.145694714285,2.0
SFCs:4-Topology:0.5,sfc3-one,2,13689.624246,2.0
SFCs:4-Topology:0.5,sfc0-one,8,6108.214643875,2.0
SFCs:4-Topology:0.5,sfc1-one,7,5009.715484142857,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4170.675399,2.0
SFCs:4-Topology:0.5,sfc3-one,8,7243.485336,2.0
SFCs:4-Topology:0.5,sfc0-one,5,11411.2649358,2.0
SFCs:4-Topology:0.5,sfc1-one,11,6982.013362909091,2.0
SFCs:4-Topology:0.5,sfc2-one,4,13448.24415325,2.0
SFCs:4-Topology:0.5,sfc3-one,5,6698.908663200001,2.0
SFCs:4-Topology:0.5,sfc0-one,20,11448.94532635,2.0
SFCs:4-Topology:0.5,sfc1-one,2,3399.1786574999996,2.0
SFCs:4-Topology:0.5,sfc2-one,4,4313.566358249999,2.0
SFCs:4-Topology:0.5,sfc3-one,4,12701.456242,2.0
SFCs:4-Topology:0.5,sfc0-one,14,10972.003290642857,2.0
SFCs:4-Topology:0.5,sfc1-one,7,11600.794818999999,2.0
SFCs:4-Topology:0.5,sfc2-one,2,19433.306788,2.0
SFCs:4-Topology:0.5,sfc3-one,6,9407.553710666667,2.0
