generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.971875, 1.0, 0.75, 837.7787859949742, 2358.3504236877143, 433.654606473891
2, 0.996875, 1.0, 0.96875, 528.6843866733656, 617.1789053636438, 372.8976711418481
3, 1.0, 1.0, 1.0, 436.4284108197477, 492.633916787472, 370.3301827137743
4, 1.0, 1.0, 1.0, 409.37134980444733, 470.9932339933599, 364.27297424171525
5, 1.0, 1.0, 1.0, 390.9708443145551, 431.8958352540988, 359.52902923772467
6, 1.0, 1.0, 1.0, 390.9708443145551, 431.8958352540988, 359.52902923772467
7, 1.0, 1.0, 1.0, 390.9708443145551, 431.8958352540988, 359.52902923772467
8, 1.0, 1.0, 1.0, 390.9708443145551, 431.8958352540988, 359.52902923772467
9, 1.0, 1.0, 1.0, 387.4996325819433, 412.8729817993281, 359.52902923772467
10, 1.0, 1.0, 1.0, 381.3848409496257, 406.23000951769563, 357.1692386515383
